indicator_code,indicator_name,year,start_year,end_year,dimension_type,dimension_code,dimension_name,numeric,value
CM_01,Number of under-five deaths,2002,2002,2002,SEX,SEX_BTSX,Both sexes,204862.0,204 862 [190 042-221 563]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,2009,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.00013,0
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2019,2019,2019,SEX,SEX_MLE,Male,20483.0,20 483 [14 395-28 753]
MORT_100,"Number of deaths in children aged <5 years, by cause",2006,2006,2006,SEX,SEX_BTSX,Both sexes,42520.70405,42520.7
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2016,2016,2016,SEX,SEX_FMLE,Female,20.68359999,20.7 [17.0-25.4]
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2015,2015,2015,SEX,SEX_MLE,Male,38534.0,38 534 [26 503-52 998]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2009,2009,2009,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.0834,0.1
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),1996,1996,1996,SEX,SEX_FMLE,Female,15751.0,15 751 [8752-23 466]
MORT_200,Deaths per 1 000 live births,2013,2013,2013,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,10.98138,11
MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,2007,2007,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.28334,0.3
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2016,2016,2016,SEX,SEX_FMLE,Female,63.604963168,63.6 [53.8-76.2]
CM_01,Number of under-five deaths,1969,1969,1969,SEX,SEX_MLE,Male,376181.0,376 181 [336 662-422 140]
MORT_100,"Number of deaths in children aged <5 years, by cause",2011,2011,2011,SEX,SEX_BTSX,Both sexes,26754.03128,26754.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,2012,2012,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.01712,0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,2011,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.10946,0.1
MORT_300,Distribution of causes of death among children aged < 5 years (%),2013,2013,2013,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.01671,0
MORT_200,Deaths per 1 000 live births,2017,2017,2017,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,4.26215,4.3
CM_02,Number of infant deaths,2023,2023,2023,SEX,SEX_BTSX,Both sexes,443714.0,443 714 [308 594-648 541]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,2002,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.01431,0
MORT_200,Deaths per 1 000 live births,2009,2009,2009,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.0118,0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2002,2002,2002,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.01227,0
MORT_200,Deaths per 1 000 live births,2000,2000,2000,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,15.25409,15.3
MORT_200,Deaths per 1 000 live births,2002,2002,2002,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,4.49819,4.5
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2017,2017,2017,SEX,SEX_FMLE,Female,7.465075466,7.5 [5.5-10.2]
CM_01,Number of under-five deaths,2016,2016,2016,SEX,SEX_FMLE,Female,426441.0,426 441 [361 361-510 058]
CM_01,Number of under-five deaths,1993,1993,1993,SEX,SEX_BTSX,Both sexes,199332.0,199 332 [183 362-215 973]
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),1999,1999,1999,SEX,SEX_FMLE,Female,20.238582214,20.2 [17.9-22.9]
CM_01,Number of under-five deaths,1973,1973,1973,SEX,SEX_BTSX,Both sexes,704093.0,704 093 [635 506-784 184]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,2011,2011,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.08756,0.1
MORT_200,Deaths per 1 000 live births,2015,2015,2015,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,5.21143,5.2
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),1999,1999,1999,SEX,SEX_FMLE,Female,30.347543906,30.3 [26.8-34.5]
MORT_100,"Number of deaths in children aged <5 years, by cause",2004,2004,2004,SEX,SEX_BTSX,Both sexes,16522.49023,16522.5
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),1996,1996,1996,SEX,SEX_BTSX,Both sexes,181.077302323,181.1 [161.9-202.5]
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2008,2008,2008,SEX,SEX_BTSX,Both sexes,25.470142558,25.5 [22.4-28.9]
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2010,2010,2010,SEX,SEX_FMLE,Female,15.629524201,15.6 [13.7-17.7]
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2016,2016,2016,SEX,SEX_FMLE,Female,16916.0,16 916 [6689-29 242]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,2005,2005,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.0343,0
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2004,2004,2004,SEX,SEX_FMLE,Female,32424.0,32 424 [25 763-39 648]
MORT_100,"Number of deaths in children aged <5 years, by cause",2000,2000,2000,SEX,SEX_BTSX,Both sexes,0.0,0.0
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2000,2000,2000,SEX,SEX_FMLE,Female,10.083534435,10.1 [6.0-14.4]
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2011,2011,2011,SEX,SEX_BTSX,Both sexes,67195.0,67 195 [50 413-86 081]
MORT_100,"Number of deaths in children aged <5 years, by cause",2001,2001,2001,SEX,SEX_BTSX,Both sexes,17426.90506,17426.9
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),1996,1996,1996,SEX,SEX_BTSX,Both sexes,35196.0,35 196 [27 275-44 743]
MORT_100,"Number of deaths in children aged <5 years, by cause",2016,2016,2016,SEX,SEX_BTSX,Both sexes,12077.68378,12077.7
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2022,2022,2022,SEX,SEX_BTSX,Both sexes,108.069070933,108.1 [77.5-153.8]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2010,2010,2010,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00128,0
MORT_100,"Number of deaths in children aged <5 years, by cause",2004,2004,2004,SEX,SEX_BTSX,Both sexes,25004.32139,25004.3
MORT_100,"Number of deaths in children aged <5 years, by cause",2017,2017,2017,SEX,SEX_BTSX,Both sexes,53924.50117221732,9210.405471956225
CM_01,Number of under-five deaths,2007,2007,2007,SEX,SEX_BTSX,Both sexes,95100.0,95 100 [85 789-105 054]
MORT_100,"Number of deaths in children aged <5 years, by cause",2007,2007,2007,SEX,SEX_BTSX,Both sexes,10730.37468,10730.4
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1989,1989,1989,SEX,SEX_BTSX,Both sexes,105.273654781,105.3 [98.2-112.7]
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,2019,2019,2019,SEX,SEX_FMLE,Female,56369.0,56 369 [45 518-72 094]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2015,2015,2015,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.04483,0
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,2020,2020,2020,SEX,SEX_MLE,Male,62768.0,62 768 [49 373-82 804]
MORT_100,"Number of deaths in children aged <5 years, by cause",2002,2002,2002,SEX,SEX_BTSX,Both sexes,503.58053,503.6
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2014,2014,2014,SEX,SEX_BTSX,Both sexes,33785.0,33 785 [26 932-42 196]
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,1996,1996,1996,SEX,SEX_BTSX,Both sexes,105644.0,105 644 [94 273-119 424]
MORT_200,Deaths per 1 000 live births,2015,2015,2015,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.45868,0.5
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2007,2007,2007,SEX,SEX_FMLE,Female,32395.0,32 395 [25 492-39 808]
MORT_200,Deaths per 1 000 live births,2006,2006,2006,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,1.66731,1.7
MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,2003,2003,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.0,0
CM_01,Number of under-five deaths,2002,2002,2002,SEX,SEX_BTSX,Both sexes,240409.0,240 409 [220 908-261 525]
MORT_200,Deaths per 1 000 live births,2017,2017,2017,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,10.0334,10
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2013,2013,2013,SEX,SEX_MLE,Male,15.320299725,15.3 [13.2-17.6]
MORT_200,Deaths per 1 000 live births,2015,2015,2015,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,2.26675,2.3
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),1994,1994,1994,SEX,SEX_MLE,Male,16525.0,16 525 [8921-24 896]
MORT_100,"Number of deaths in children aged <5 years, by cause",2002,2002,2002,SEX,SEX_BTSX,Both sexes,573.38646,573.4
MORT_200,Deaths per 1 000 live births,2016,2016,2016,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,10.98989,11
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2008,2008,2008,SEX,SEX_BTSX,Both sexes,10.111951245,10.1 [8.5-12.0]
MORT_300,Distribution of causes of death among children aged < 5 years (%),2006,2006,2006,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.05602,0.1
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2001,2001,2001,SEX,SEX_BTSX,Both sexes,20.006872443,20.0 [18.1-22.3]
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1973,1973,1973,SEX,SEX_BTSX,Both sexes,134.049829752,134.0 [120.8-149.5]
MORT_100,"Number of deaths in children aged <5 years, by cause",2002,2002,2002,SEX,SEX_BTSX,Both sexes,69821.757770662,69 822
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2005,2005,2005,SEX,SEX_FMLE,Female,26.46325568,26.5 [23.4-29.9]
CM_01,Number of under-five deaths,2023,2023,2023,SEX,SEX_BTSX,Both sexes,195431.0,195 431 [133 215-289 222]
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2023,2023,2023,SEX,SEX_FMLE,Female,32297.0,32 297 [18 266-54 757]
MORT_200,Deaths per 1 000 live births,2000,2000,2000,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,13.68351,13.7
MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,2008,2008,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.01591,0
MORT_200,Deaths per 1 000 live births,2016,2016,2016,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,5.31818,5.3
MORT_100,"Number of deaths in children aged <5 years, by cause",2013,2013,2013,SEX,SEX_BTSX,Both sexes,6988.49767,6988.5
MORT_100,"Number of deaths in children aged <5 years, by cause",2011,2011,2011,SEX,SEX_BTSX,Both sexes,66.58329,66.6
MORT_200,Deaths per 1 000 live births,2007,2007,2007,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,4.84181,4.8
MORT_200,Deaths per 1 000 live births,2009,2009,2009,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,12.62406,12.6
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2001,2001,2001,SEX,SEX_BTSX,Both sexes,12.091076605,12.1 [10.0-14.6]
MORT_100,"Number of deaths in children aged <5 years, by cause",2010,2010,2010,SEX,SEX_BTSX,Both sexes,0.0,0.0
CM_04,Number of deaths among children ages 5 to 9 years,1996,1996,1996,SEX,SEX_FMLE,Female,34942.0,34 942 [30 689-40 196]
MORT_200,Deaths per 1 000 live births,2007,2007,2007,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.04633,0
MORT_100,"Number of deaths in children aged <5 years, by cause",2002,2002,2002,SEX,SEX_BTSX,Both sexes,23091.726218118,23 092
MORT_100,"Number of deaths in children aged <5 years, by cause",2015,2015,2015,SEX,SEX_BTSX,Both sexes,30741.548576799,30 742
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),1997,1997,1997,SEX,SEX_BTSX,Both sexes,11.019183209,11.0 [6.3-16.0]
