indicator_code,indicator_name,year,start_year,end_year,sex_type,sex_code,sex_name,numeric,value,lower_bound,upper_bound
TB_1,Tuberculosis treatment coverage,2006,2006,2006,Sex,BTSX,Both sexes,22.0,22 [15-33],15.0,33.0
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2009,2009,2009,Sex,BTSX,Both sexes,56.0,56 [37-80],37.0,80.0
TB_c_newinc,Tuberculosis - new and relapse cases,2006,2006,2006,Sex,BTSX,Both sexes,70734.0,70 734,53944.528461538466,122130.61538461539
TB_c_newinc,Tuberculosis - new and relapse cases,2016,2016,2016,Sex,BTSX,Both sexes,97279.0,97 279,53944.528461538466,122130.61538461539
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2021,2021,2021,Sex,BTSX,Both sexes,92.0,92,53944.528461538466,122130.61538461539
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2005,2005,2005,Sex,BTSX,Both sexes,44.0,44 [16-86],16.0,86.0
TB_c_newinc,Tuberculosis - new and relapse cases,2015,2015,2015,Sex,BTSX,Both sexes,87211.0,87 211,53944.528461538466,122130.61538461539
TB_c_newinc,Tuberculosis - new and relapse cases,2013,2013,2013,Sex,BTSX,Both sexes,94825.0,94 825,53944.528461538466,122130.61538461539
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2020,2020,2020,Sex,BTSX,Both sexes,91.0,91,53944.528461538466,122130.61538461539
TB_e_inc_num,Number of incident tuberculosis cases,2020,2020,2020,Sex,BTSX,Both sexes,469000.0,469 000 [306 000-666 000],306000.0,666000.0
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2013,2013,2013,Sex,BTSX,Both sexes,219.0,219 [143-311],143.0,311.0
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2016,2016,2016,Sex,BTSX,Both sexes,16.0,16,53944.528461538466,122130.61538461539
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2000,2000,2000,Sex,BTSX,Both sexes,79000.0,79 000 [32 000-148 000],32000.0,148000.0
TB_c_newinc,Tuberculosis - new and relapse cases,2004,2004,2004,Sex,BTSX,Both sexes,57553.0,57 553,53944.528461538466,122130.61538461539
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2018,2018,2018,Sex,BTSX,Both sexes,89.0,89,53944.528461538466,122130.61538461539
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2007,2007,2007,Sex,BTSX,Both sexes,0.67,0.67,53944.528461538466,122130.61538461539
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2007,2007,2007,Sex,BTSX,Both sexes,45.0,45,53944.528461538466,122130.61538461539
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2013,2013,2013,Sex,BTSX,Both sexes,87000.0,87 000 [57 000-124 000],57000.0,124000.0
TB_c_newinc,Tuberculosis - new and relapse cases,2000,2000,2000,Sex,BTSX,Both sexes,25821.0,25 821,53944.528461538466,122130.61538461539
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2002,2002,2002,Sex,BTSX,Both sexes,73.0,73,53944.528461538466,122130.61538461539
TB_hivtest_pct,TB patients with known HIV status (%),2015,2015,2015,Sex,BTSX,Both sexes,100.0,100,53944.528461538466,122130.61538461539
TB_e_inc_num,Number of incident tuberculosis cases,2021,2021,2021,Sex,BTSX,Both sexes,479000.0,479 000 [312 000-680 000],312000.0,680000.0
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2015,2015,2015,Sex,BTSX,Both sexes,75.0,75,53944.528461538466,122130.61538461539
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2011,2011,2011,Sex,BTSX,Both sexes,97000.0,97 000 [63 000-138 000],63000.0,138000.0
TB_1,Tuberculosis treatment coverage,2012,2012,2012,Sex,BTSX,Both sexes,24.0,24 [17-37],17.0,37.0
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2016,2016,2016,Sex,BTSX,Both sexes,77.0,77,53944.528461538466,122130.61538461539
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2016,2016,2016,Sex,BTSX,Both sexes,71.0,71,53944.528461538466,122130.61538461539
TB_c_mdr_tx,Cases started on MDR-TB treatment,2019,2019,2019,Sex,BTSX,Both sexes,1975.0,1975,53944.528461538466,122130.61538461539
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2009,2009,2009,Sex,BTSX,Both sexes,0.31,0.31,53944.528461538466,122130.61538461539
TB_1,Tuberculosis treatment coverage,2001,2001,2001,Sex,BTSX,Both sexes,16.0,16 [11-25],11.0,25.0
TB_c_new_tsr,Treatment success rate: new TB cases,2001,2001,2001,Sex,BTSX,Both sexes,79.0,79,53944.528461538466,122130.61538461539
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2021,2021,2021,Sex,BTSX,Both sexes,5.9,5.9,53944.528461538466,122130.61538461539
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2009,2009,2009,Sex,BTSX,Both sexes,39.0,39,53944.528461538466,122130.61538461539
TB_e_inc_num,Number of incident tuberculosis cases,2003,2003,2003,Sex,BTSX,Both sexes,301000.0,301 000 [196 000-427 000],196000.0,427000.0
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2017,2017,2017,Sex,BTSX,Both sexes,61000.0,61 000 [40 000-86 000],40000.0,86000.0
TB_e_inc_num,Number of incident tuberculosis cases,2014,2014,2014,Sex,BTSX,Both sexes,407000.0,407 000 [266 000-578 000],266000.0,578000.0
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2019,2019,2019,Sex,BTSX,Both sexes,219.0,219 [143-311],143.0,311.0
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2015,2015,2015,Sex,BTSX,Both sexes,71000.0,71 000 [46 000-101 000],46000.0,101000.0
