indicator_code,indicator_name,year,start_year,end_year,sex_type,sex_code,sex_name,numeric,value,lower_bound,upper_bound
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),2015,2015,2015,Sex,BTSX,Both sexes,16702261.0,16 702 261,187.35050400770834,281.85626283541666
MALARIA_CONF_CASES,Number of confirmed malaria cases,2015,2015,2015,Sex,BTSX,Both sexes,8068583.0,8 068 583,187.35050400770834,281.85626283541666
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),2017,2017,2017,Sex,BTSX,Both sexes,12338760.0,12 338 760,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2010,2010,2010,Sex,BTSX,Both sexes,119.5568596,119.56 [110.15-129.37],110.1456567,129.3654242
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2003,2003,2003,Sex,BTSX,Both sexes,382.0879866,382.09 [298.42-484.07],298.4232616,484.0688728
MALARIA_SUSPECTS,Number of suspected malaria cases,2017,2017,2017,Sex,BTSX,Both sexes,25106551.0,25 106 551,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2007,2007,2007,Sex,BTSX,Both sexes,151.1457819,151.15 [141.15-161.46],141.1469081,161.4598404
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2011,2011,2011,Sex,BTSX,Both sexes,339.5066275,339.51 [273.76-416.18],273.7594721,416.1799168
MALARIA_CONF_CASES,Number of confirmed malaria cases,2018,2018,2018,Sex,BTSX,Both sexes,14548024.0,14 548 024,187.35050400770834,281.85626283541666
MALARIA_CONF_CASES,Number of confirmed malaria cases,2022,2022,2022,Sex,BTSX,Both sexes,23050405.0,23 050 405,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2000,2000,2000,Sex,BTSX,Both sexes,178.9915619,178.99 [168.96-189.47],168.9624039,189.4700899
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2016,2016,2016,Sex,BTSX,Both sexes,284.8254203,284.83 [225.41-353.73],225.4107528,353.7300677
MALARIA_CONF_CASES,Number of confirmed malaria cases,2020,2020,2020,Sex,BTSX,Both sexes,18325240.0,18 325 240,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2005,2005,2005,Sex,BTSX,Both sexes,144.6751994,144.68 [135.74-153.95],135.7362286,153.9486305
MALARIA_PRES_CASES,Number of presumed malaria cases,2016,2016,2016,Sex,BTSX,Both sexes,10358387.0,10 358 387,187.35050400770834,281.85626283541666
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,2019,2019,2019,Sex,BTSX,Both sexes,2476514.0,2 476 514,187.35050400770834,281.85626283541666
MALARIA_INDIG,Number of indigenous malaria cases,2017,2017,2017,Sex,BTSX,Both sexes,13087878.0,13 087 878,187.35050400770834,281.85626283541666
MALARIA_INDIG,Number of indigenous malaria cases,2016,2016,2016,Sex,BTSX,Both sexes,13598282.0,13 598 282,187.35050400770834,281.85626283541666
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2017,2017,2017,Sex,BTSX,Both sexes,288.9798255,288.98 [229.08-359.80],229.0768718,359.8038719
MALARIA_CONF_CASES,Number of confirmed malaria cases,2017,2017,2017,Sex,BTSX,Both sexes,13087878.0,13 087 878,187.35050400770834,281.85626283541666
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,2021,2021,2021,Sex,BTSX,Both sexes,2559742.0,2 559 742,187.35050400770834,281.85626283541666
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,2016,2016,2016,Sex,BTSX,Both sexes,13598282.0,13 598 282,187.35050400770834,281.85626283541666
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2009,2009,2009,Sex,BTSX,Both sexes,389.9603704,389.96 [319.67-471.62],319.6747391,471.6200167
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),2016,2016,2016,Sex,BTSX,Both sexes,23956669.0,23 956 669,187.35050400770834,281.85626283541666
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,2015,2015,2015,Sex,BTSX,Both sexes,839849.0,839 849,187.35050400770834,281.85626283541666
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2002,2002,2002,Sex,BTSX,Both sexes,381.7466329,381.75 [296.16-485.34],296.1644731,485.3366436
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,2018,2018,2018,Sex,BTSX,Both sexes,1428731.0,1 428 731,187.35050400770834,281.85626283541666
MALARIA_SUSPECTS,Number of suspected malaria cases,2019,2019,2019,Sex,BTSX,Both sexes,29489245.0,29 489 245,187.35050400770834,281.85626283541666
MALARIA_PRES_CASES,Number of presumed malaria cases,2017,2017,2017,Sex,BTSX,Both sexes,7131390.0,7 131 390,187.35050400770834,281.85626283541666
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),2016,2016,2016,Sex,BTSX,Both sexes,12979919.0,12 979 919,187.35050400770834,281.85626283541666
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),2023,2023,2023,Sex,BTSX,Both sexes,21649680.0,21 649 680,187.35050400770834,281.85626283541666
MALARIA_SUSPECTS,Number of suspected malaria cases,2021,2021,2021,Sex,BTSX,Both sexes,30202722.0,30 202 722,187.35050400770834,281.85626283541666
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2021,2021,2021,Sex,BTSX,Both sexes,299.2711055,299.27 [217.44-407.25],217.4433874,407.2521096
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,2019,2019,2019,Sex,BTSX,Both sexes,3298156.0,3 298 156,187.35050400770834,281.85626283541666
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),2015,2015,2015,Sex,BTSX,Both sexes,7511712.0,7 511 712,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2023,2023,2023,Sex,BTSX,Both sexes,81.04555609,81.05 [59.15-115.82],59.14511286,115.8200211
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),2017,2017,2017,Sex,BTSX,Both sexes,20219268.0,20 219 268,187.35050400770834,281.85626283541666
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2012,2012,2012,Sex,BTSX,Both sexes,316.2204182,316.22 [255.24-389.01],255.2395212,389.0072903
MALARIA_SUSPECTS,Number of suspected malaria cases,2020,2020,2020,Sex,BTSX,Both sexes,27370935.0,27 370 935,187.35050400770834,281.85626283541666
MALARIA_SUSPECTS,Number of suspected malaria cases,2015,2015,2015,Sex,BTSX,Both sexes,20243915.0,20 243 915,187.35050400770834,281.85626283541666
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2000,2000,2000,Sex,BTSX,Both sexes,401.7883996,401.79 [312.41-508.80],312.407753,508.7993269
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2008,2008,2008,Sex,BTSX,Both sexes,402.0148632,402.01 [328.56-486.99],328.5585303,486.985995
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2020,2020,2020,Sex,BTSX,Both sexes,304.3687915,304.37 [218.69-414.28],218.6892779,414.2790151
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),2021,2021,2021,Sex,BTSX,Both sexes,23608797.0,23 608 797,187.35050400770834,281.85626283541666
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),2023,2023,2023,Sex,BTSX,Both sexes,26411359.0,26 411 359,187.35050400770834,281.85626283541666
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,2017,2017,2017,Sex,BTSX,Both sexes,13087878.0,13 087 878,187.35050400770834,281.85626283541666
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,2023,2023,2023,Sex,BTSX,Both sexes,24098323.0,24 098 323,187.35050400770834,281.85626283541666
MALARIA_SUSPECTS,Number of suspected malaria cases,2022,2022,2022,Sex,BTSX,Both sexes,32983459.0,32 983 459,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2012,2012,2012,Sex,BTSX,Both sexes,97.62280978,97.62 [88.72-107.68],88.71702407,107.676222
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2003,2003,2003,Sex,BTSX,Both sexes,149.9774305,149.98 [141.18-159.18],141.1838681,159.1813894
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,2021,2021,2021,Sex,BTSX,Both sexes,3405012.0,3 405 012,187.35050400770834,281.85626283541666
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,2022,2022,2022,Sex,BTSX,Both sexes,23050405.0,23 050 405,187.35050400770834,281.85626283541666
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),2022,2022,2022,Sex,BTSX,Both sexes,24968466.0,24 968 466,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2022,2022,2022,Sex,BTSX,Both sexes,84.1099024,84.11 [62.99-116.97],62.99021342,116.97429
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2004,2004,2004,Sex,BTSX,Both sexes,160.4521065,160.45 [150.74-170.59],150.7361614,170.5893704
MALARIA_SUSPECTS,Number of suspected malaria cases,2016,2016,2016,Sex,BTSX,Both sexes,29113322.0,29 113 322,187.35050400770834,281.85626283541666
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),2022,2022,2022,Sex,BTSX,Both sexes,20672565.0,20 672 565,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2006,2006,2006,Sex,BTSX,Both sexes,159.7144215,159.71 [149.50-170.31],149.5036137,170.3096942
MALARIA_INDIG,Number of indigenous malaria cases,2015,2015,2015,Sex,BTSX,Both sexes,8068583.0,8 068 583,187.35050400770834,281.85626283541666
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,2019,2019,2019,Sex,BTSX,Both sexes,19806915.0,19 806 915,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2020,2020,2020,Sex,BTSX,Both sexes,93.57970739,93.58 [72.02-125.44],72.02463814,125.4449139
MALARIA_PRES_CASES,Number of presumed malaria cases,2019,2019,2019,Sex,BTSX,Both sexes,3569878.0,3 569 878,187.35050400770834,281.85626283541666
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),2019,2019,2019,Sex,BTSX,Both sexes,17330401.0,17 330 401,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2021,2021,2021,Sex,BTSX,Both sexes,87.29310542,87.29 [66.95-117.93],66.95378349,117.925407
MALARIA_PRES_CASES,Number of presumed malaria cases,2020,2020,2020,Sex,BTSX,Both sexes,3254815.0,3 254 815,187.35050400770834,281.85626283541666
MALARIA_INDIG,Number of indigenous malaria cases,2022,2022,2022,Sex,BTSX,Both sexes,23050405.0,23 050 405,187.35050400770834,281.85626283541666
MALARIA_CONF_CASES,Number of confirmed malaria cases,2021,2021,2021,Sex,BTSX,Both sexes,21325186.0,21 325 186,187.35050400770834,281.85626283541666
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,2016,2016,2016,Sex,BTSX,Both sexes,901141.0,901 141,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2008,2008,2008,Sex,BTSX,Both sexes,140.1757545,140.18 [130.56-150.17],130.5637595,150.1716609
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2022,2022,2022,Sex,BTSX,Both sexes,298.9976008,299.00 [215.48-402.85],215.4783976,402.8461637
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),2020,2020,2020,Sex,BTSX,Both sexes,21580055.0,21 580 055,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2013,2013,2013,Sex,BTSX,Both sexes,90.50953004,90.51 [81.53-101.04],81.52799178,101.0421087
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2005,2005,2005,Sex,BTSX,Both sexes,395.897142,395.90 [318.82-487.01],318.8226207,487.0066284
MALARIA_SUSPECTS,Number of suspected malaria cases,2018,2018,2018,Sex,BTSX,Both sexes,25381459.0,25 381 459,187.35050400770834,281.85626283541666
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,2020,2020,2020,Sex,BTSX,Both sexes,3086039.0,3 086 039,187.35050400770834,281.85626283541666
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,2017,2017,2017,Sex,BTSX,Both sexes,749118.0,749 118,187.35050400770834,281.85626283541666
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2019,2019,2019,Sex,BTSX,Both sexes,292.9999532,293.00 [226.46-376.22],226.4616604,376.2231471
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),2020,2020,2020,Sex,BTSX,Both sexes,16013077.0,16 013 077,187.35050400770834,281.85626283541666
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,2020,2020,2020,Sex,BTSX,Both sexes,2312163.0,2 312 163,187.35050400770834,281.85626283541666
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2007,2007,2007,Sex,BTSX,Both sexes,400.6095535,400.61 [324.03-489.82],324.0281992,489.8163426
MALARIA_PRES_CASES,Number of presumed malaria cases,2018,2018,2018,Sex,BTSX,Both sexes,5934356.0,5 934 356,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2015,2015,2015,Sex,BTSX,Both sexes,88.66121306,88.66 [77.62-102.50],77.62234083,102.5017832
MALARIA_SUSPECTS,Number of suspected malaria cases,2023,2023,2023,Sex,BTSX,Both sexes,35179110.0,35 179 110,187.35050400770834,281.85626283541666
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,2018,2018,2018,Sex,BTSX,Both sexes,14548024.0,14 548 024,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2011,2011,2011,Sex,BTSX,Both sexes,107.2286335,107.23 [98.18-117.11],98.18436847,117.1126135
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,2018,2018,2018,Sex,BTSX,Both sexes,1023273.0,1 023 273,187.35050400770834,281.85626283541666
MALARIA_PRES_CASES,Number of presumed malaria cases,2023,2023,2023,Sex,BTSX,Both sexes,2313036.0,2 313 036,187.35050400770834,281.85626283541666
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,2015,2015,2015,Sex,BTSX,Both sexes,556871.0,556 871,187.35050400770834,281.85626283541666
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,2017,2017,2017,Sex,BTSX,Both sexes,1055444.0,1 055 444,187.35050400770834,281.85626283541666
MALARIA_PRES_CASES,Number of presumed malaria cases,2022,2022,2022,Sex,BTSX,Both sexes,1918061.0,1 918 061,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2002,2002,2002,Sex,BTSX,Both sexes,172.5215931,172.52 [162.53-182.85],162.5299834,182.8489473
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2010,2010,2010,Sex,BTSX,Both sexes,363.3581836,363.36 [294.24-443.45],294.238556,443.4500325
MALARIA_INDIG,Number of indigenous malaria cases,2021,2021,2021,Sex,BTSX,Both sexes,21325186.0,21 325 186,187.35050400770834,281.85626283541666
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2018,2018,2018,Sex,BTSX,Both sexes,88.36542453,88.37 [72.84-109.45],72.84206725,109.4483574
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),2018,2018,2018,Sex,BTSX,Both sexes,13524751.0,13 524 751,187.35050400770834,281.85626283541666
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2013,2013,2013,Sex,BTSX,Both sexes,297.8264948,297.83 [239.60-366.29],239.5965318,366.2851341
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2014,2014,2014,Sex,BTSX,Both sexes,89.23547763,89.24 [79.36-101.30],79.36161824,101.3002959
