indicator_code,indicator_name,year,start_year,end_year,sex_type,sex_code,sex_name,numeric,value,lower_bound,upper_bound
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2004,2004,2004,SEX,FMLE,Female,2086.2,2086.2 [1565.9-2579.7],1565.9,2579.7
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2017,2017,2017,SEX,FMLE,Female,40.7,40.7 [30.7-51.0],30.7,51.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2015,2015,2015,SEX,FMLE,Female,41.8,41.8 [30.9-53.4],30.9,53.4
MDG_0000000003,Adolescent birth rate (per 1000 women),2003,2003,2003,SEX,FMLE,Female,152.0,152.0,4176.167361111111,7583.3479166666675
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2004,2004,2004,SEX,FMLE,Female,53.8,53.8 [40.4-66.5],40.4,66.5
WHS4_154,Antenatal care coverage - at least four visits (%),2008,2003,2008,Sex,FMLE,Female,44.8,44.8,4176.167361111111,7583.3479166666675
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2011,2011,2011,SEX,FMLE,Female,44.2,44.2 [31.2-57.8],31.2,57.8
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2006,2006,2006,SEX,FMLE,Female,16252.3,16 252.3 [11 240.2-21 045.2],11240.2,21045.2
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2020,2020,2020,SEX,FMLE,Female,17298.2,17 298.2 [13 103.3-22 252.6],13103.3,22252.6
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2018,2018,2018,SEX,FMLE,Female,39.3,39.3 [29.5-49.6],29.5,49.6
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2006,2006,2006,SEX,FMLE,Female,47.7,47.7 [33.0-61.7],33.0,61.7
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2011,2011,2011,SEX,FMLE,Female,17162.4,17 162.4 [12 131.3-22 461.0],12131.3,22461.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2015,2015,2015,SEX,FMLE,Female,48.3,48.3 [37.8-59.2],37.8,59.2
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2022,2022,2022,SEX,FMLE,Female,38.1,38.1 [28.4-50.8],28.4,50.8
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2002,2002,2002,SEX,FMLE,Female,15212.5,15 212.5 [10 555.7-19 714.1],10555.7,19714.1
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2005,2005,2005,SEX,FMLE,Female,53.3,53.3 [40.1-66.1],40.1,66.1
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2022,2022,2022,SEX,FMLE,Female,45.2,45.2 [35.6-57.8],35.6,57.8
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2002,2002,2002,SEX,FMLE,Female,49.5,49.5 [34.3-64.1],34.3,64.1
MDG_0000000003,Adolescent birth rate (per 1000 women),2005,2005,2005,SEX,FMLE,Female,141.4788971,141.5,4176.167361111111,7583.3479166666675
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2023,2023,2023,SEX,FMLE,Female,45.0,45.0 [34.8-58.6],34.8,58.6
MDG_0000000003,Adolescent birth rate (per 1000 women),2014,2014,2014,SEX,FMLE,Female,126.2618713,126.3,4176.167361111111,7583.3479166666675
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2010,2010,2010,SEX,FMLE,Female,14727.0,14 727.0 [10 008.1-19 649.1],10008.1,19649.1
SRHINSTITUTIONALBIRTH,Proportion of births delivered in a health facility (Facility births) (%),1990,1985,1990,Sex,FMLE,Female,30.9,30.9,4176.167361111111,7583.3479166666675
WHS4_154,Antenatal care coverage - at least four visits (%),2024,2021,2024,Sex,FMLE,Female,52.4,52.4,4176.167361111111,7583.3479166666675
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2007,2007,2007,SEX,FMLE,Female,47.1,47.1 [32.8-61.4],32.8,61.4
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2021,2021,2021,SEX,FMLE,Female,2100.8,2100.8 [1667.5-2646.4],1667.5,2646.4
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2000,2000,2000,SEX,FMLE,Female,14642.9,14 642.9 [9953.2-19 128.7],9953.2,19128.7
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2022,2022,2022,SEX,FMLE,Female,37.4,37.4 [27.5-50.5],27.5,50.5
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2003,2003,2003,SEX,FMLE,Female,15493.4,15 493.4 [10 820.7-19 927.0],10820.7,19927.0
SRHINSTITUTIONALBIRTH,Proportion of births delivered in a health facility (Facility births) (%),2018,2013,2018,Sex,FMLE,Female,39.4,39.4,4176.167361111111,7583.3479166666675
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2010,2010,2010,SEX,FMLE,Female,50.6,50.6 [38.5-63.3],38.5,63.3
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2000,2000,2000,SEX,FMLE,Female,12704.3,12 704.3 [8278.2-17 026.5],8278.2,17026.5
WHS4_154,Antenatal care coverage - at least four visits (%),2017,2013,2017,Sex,FMLE,Female,49.1,49.1,4176.167361111111,7583.3479166666675
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2008,2008,2008,SEX,FMLE,Female,2201.3,2201.3 [1657.8-2748.8],1657.8,2748.8
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2000,2000,2000,SEX,FMLE,Female,49.6,49.6 [32.3-66.5],32.3,66.5
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2000,2000,2000,SEX,FMLE,Female,1938.6,1938.6 [1442.3-2429.0],1442.3,2429.0
SRHINSTITUTIONALBIRTH,Proportion of births delivered in a health facility (Facility births) (%),2008,2003,2008,Sex,FMLE,Female,35.0,35.0,4176.167361111111,7583.3479166666675
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2016,2016,2016,SEX,FMLE,Female,16117.9,16 117.9 [11 848.5-20 624.3],11848.5,20624.3
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2019,2019,2019,SEX,FMLE,Female,46.5,46.5 [37.2-57.3],37.2,57.3
MDG_0000000003,Adolescent birth rate (per 1000 women),2002,2002,2002,SEX,FMLE,Female,140.1154633,140.1,4176.167361111111,7583.3479166666675
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2019,2019,2019,SEX,FMLE,Female,17002.0,17 002.0 [12 812.7-21 547.1],12812.7,21547.1
