country_code,year,diseases,sex,death_rate
AFG,2021,syphilis,BTSX,1.46
AFG,2021,genital herpes,BTSX,0.0
AFG,2021,tuberculosis,BTSX,25.07
AFG,2021,hiv/aids,BTSX,1.88
AFG,2021,acute hepatitis b,BTSX,2.93
AFG,2021,trichomoniasis,BTSX,0.0
AFG,2021,chlamydia,BTSX,0.0
AFG,2021,acute hepatitis e,BTSX,0.07
AFG,2021,malaria,BTSX,0.24
AFG,2021,acute hepatitis c,BTSX,0.08
AFG,2021,acute hepatitis a,BTSX,1.74
AGO,2021,acute hepatitis c,BTSX,0.07
AGO,2021,acute hepatitis a,BTSX,0.19
AGO,2021,chlamydia,BTSX,0.02
AGO,2021,malaria,BTSX,56.39
AGO,2021,hiv/aids,BTSX,41.92
AGO,2021,acute hepatitis b,BTSX,0.92
AGO,2021,trichomoniasis,BTSX,0.0
AGO,2021,acute hepatitis e,BTSX,0.03
AGO,2021,syphilis,BTSX,4.65
AGO,2021,tuberculosis,BTSX,60.66
AGO,2021,genital herpes,BTSX,0.0
ALB,2021,malaria,BTSX,0.0
ALB,2021,acute hepatitis c,BTSX,0.0
ALB,2021,acute hepatitis a,BTSX,0.0
ALB,2021,syphilis,BTSX,0.03
ALB,2021,genital herpes,BTSX,0.0
ALB,2021,tuberculosis,BTSX,0.34
ALB,2021,hiv/aids,BTSX,0.61
ALB,2021,acute hepatitis b,BTSX,0.02
ALB,2021,trichomoniasis,BTSX,0.0
ALB,2021,chlamydia,BTSX,0.0
ALB,2021,acute hepatitis e,BTSX,0.0
ARE,2021,malaria,BTSX,0.0
ARE,2021,chlamydia,BTSX,0.0
ARE,2021,trichomoniasis,BTSX,0.0
ARE,2021,acute hepatitis e,BTSX,0.01
ARE,2021,hiv/aids,BTSX,0.25
ARE,2021,acute hepatitis b,BTSX,0.21
ARE,2021,tuberculosis,BTSX,0.39
ARE,2021,genital herpes,BTSX,0.0
ARE,2021,syphilis,BTSX,0.1
ARE,2021,acute hepatitis a,BTSX,0.05
ARE,2021,acute hepatitis c,BTSX,0.02
ARG,2021,trichomoniasis,BTSX,0.0
ARG,2021,acute hepatitis e,BTSX,0.01
ARG,2021,chlamydia,BTSX,0.0
ARG,2021,malaria,BTSX,0.0
ARG,2021,acute hepatitis c,BTSX,0.11
ARG,2021,acute hepatitis a,BTSX,0.34
ARG,2021,syphilis,BTSX,0.05
ARG,2021,tuberculosis,BTSX,1.49
ARG,2021,genital herpes,BTSX,0.0
ARG,2021,hiv/aids,BTSX,2.73
ARG,2021,acute hepatitis b,BTSX,0.07
ARM,2021,tuberculosis,BTSX,1.72
ARM,2021,genital herpes,BTSX,0.0
ARM,2021,syphilis,BTSX,0.0
ARM,2021,acute hepatitis a,BTSX,0.06
ARM,2021,acute hepatitis c,BTSX,1.02
