country_code,year,diseases,sex,death_rate
AFG,2021,syphilis,FMLE,1.4
AFG,2021,genital herpes,FMLE,0.0
AFG,2021,tuberculosis,FMLE,33.05
AFG,2021,hiv/aids,FMLE,1.17
AFG,2021,acute hepatitis b,FMLE,3.5
AFG,2021,trichomoniasis,FMLE,0.0
AFG,2021,chlamydia,FMLE,0.0
AFG,2021,acute hepatitis e,FMLE,0.05
AFG,2021,malaria,FMLE,0.27
AFG,2021,acute hepatitis c,FMLE,0.06
AFG,2021,acute hepatitis a,FMLE,1.96
AGO,2021,acute hepatitis c,FMLE,0.07
AGO,2021,acute hepatitis a,FMLE,0.32
AGO,2021,chlamydia,FMLE,0.05
AGO,2021,malaria,FMLE,52.96
AGO,2021,hiv/aids,FMLE,43.0
AGO,2021,acute hepatitis b,FMLE,0.94
AGO,2021,trichomoniasis,FMLE,0.0
AGO,2021,acute hepatitis e,FMLE,0.03
AGO,2021,syphilis,FMLE,3.62
AGO,2021,tuberculosis,FMLE,52.59
AGO,2021,genital herpes,FMLE,0.0
ALB,2021,malaria,FMLE,0.0
ALB,2021,acute hepatitis c,FMLE,0.0
ALB,2021,acute hepatitis a,FMLE,0.0
ALB,2021,syphilis,FMLE,0.02
ALB,2021,genital herpes,FMLE,0.0
ALB,2021,tuberculosis,FMLE,0.21
ALB,2021,hiv/aids,FMLE,0.28
ALB,2021,acute hepatitis b,FMLE,0.02
ALB,2021,trichomoniasis,FMLE,0.0
ALB,2021,chlamydia,FMLE,0.01
ALB,2021,acute hepatitis e,FMLE,0.0
ARE,2021,malaria,FMLE,0.0
ARE,2021,chlamydia,FMLE,0.0
ARE,2021,trichomoniasis,FMLE,0.0
ARE,2021,acute hepatitis e,FMLE,0.0
ARE,2021,hiv/aids,FMLE,0.19
ARE,2021,acute hepatitis b,FMLE,0.04
ARE,2021,tuberculosis,FMLE,0.67
ARE,2021,genital herpes,FMLE,0.0
ARE,2021,syphilis,FMLE,0.09
ARE,2021,acute hepatitis a,FMLE,0.01
ARE,2021,acute hepatitis c,FMLE,0.01
ARG,2021,trichomoniasis,FMLE,0.0
ARG,2021,acute hepatitis e,FMLE,0.01
ARG,2021,chlamydia,FMLE,0.0
ARG,2021,malaria,FMLE,0.0
ARG,2021,acute hepatitis c,FMLE,0.11
ARG,2021,acute hepatitis a,FMLE,0.29
ARG,2021,syphilis,FMLE,0.05
ARG,2021,tuberculosis,FMLE,1.03
ARG,2021,genital herpes,FMLE,0.0
ARG,2021,hiv/aids,FMLE,1.68
ARG,2021,acute hepatitis b,FMLE,0.03
ARM,2021,tuberculosis,FMLE,0.84
ARM,2021,genital herpes,FMLE,0.0
ARM,2021,syphilis,FMLE,0.0
ARM,2021,acute hepatitis a,FMLE,0.09
ARM,2021,acute hepatitis c,FMLE,0.39
ARM,2021,malaria,FMLE,0.0
ARM,2021,chlamydia,FMLE,0.0
ARM,2021,trichomoniasis,FMLE,0.0
ARM,2021,acute hepatitis e,FMLE,0.0
ARM,2021,hiv/aids,FMLE,0.3
ARM,2021,acute hepatitis b,FMLE,0.13
ATG,2021,malaria,FMLE,0.0
ATG,2021,acute hepatitis c,FMLE,0.0
ATG,2021,acute hepatitis a,FMLE,0.02
ATG,2021,syphilis,FMLE,0.0
ATG,2021,genital herpes,FMLE,0.0
ATG,2021,tuberculosis,FMLE,1.77
ATG,2021,hiv/aids,FMLE,3.53
ATG,2021,acute hepatitis b,FMLE,0.0
ATG,2021,trichomoniasis,FMLE,0.0
ATG,2021,chlamydia,FMLE,0.0
ATG,2021,acute hepatitis e,FMLE,0.0
AUS,2021,acute hepatitis c,FMLE,0.2
AUS,2021,chlamydia,FMLE,0.0
AUS,2021,malaria,FMLE,0.0
AUS,2021,trichomoniasis,FMLE,0.0
AUS,2021,acute hepatitis e,FMLE,0.0
AUS,2021,hiv/aids,FMLE,0.02
AUS,2021,acute hepatitis b,FMLE,0.09
AUS,2021,tuberculosis,FMLE,0.15
AUS,2021,syphilis,FMLE,0.02
AUS,2021,genital herpes,FMLE,0.0
AUS,2021,acute hepatitis a,FMLE,0.02
AUT,2021,acute hepatitis c,FMLE,0.7
AUT,2021,acute hepatitis a,FMLE,0.11
AUT,2021,syphilis,FMLE,0.0
AUT,2021,genital herpes,FMLE,0.0
AUT,2021,tuberculosis,FMLE,0.26
AUT,2021,hiv/aids,FMLE,0.18
AUT,2021,acute hepatitis b,FMLE,0.01
AUT,2021,trichomoniasis,FMLE,0.0
AUT,2021,acute hepatitis e,FMLE,0.04
AUT,2021,chlamydia,FMLE,0.0
AUT,2021,malaria,FMLE,0.0
AZE,2021,hiv/aids,FMLE,0.5
AZE,2021,acute hepatitis b,FMLE,0.05
AZE,2021,tuberculosis,FMLE,2.23
AZE,2021,genital herpes,FMLE,0.0
AZE,2021,syphilis,FMLE,0.12
AZE,2021,acute hepatitis a,FMLE,0.01
AZE,2021,acute hepatitis c,FMLE,0.0
AZE,2021,chlamydia,FMLE,0.03
AZE,2021,malaria,FMLE,0.0
AZE,2021,trichomoniasis,FMLE,0.0
AZE,2021,acute hepatitis e,FMLE,0.01
BDI,2021,acute hepatitis a,FMLE,0.22
BDI,2021,acute hepatitis c,FMLE,0.07
BDI,2021,malaria,FMLE,53.28
BDI,2021,chlamydia,FMLE,0.05
BDI,2021,acute hepatitis e,FMLE,0.01
BDI,2021,trichomoniasis,FMLE,0.0
BDI,2021,tuberculosis,FMLE,19.9
BDI,2021,hiv/aids,FMLE,10.23
BDI,2021,acute hepatitis b,FMLE,0.11
BDI,2021,syphilis,FMLE,1.09
BDI,2021,genital herpes,FMLE,0.0
BEL,2021,malaria,FMLE,0.0
BEL,2021,acute hepatitis c,FMLE,0.23
BEL,2021,hiv/aids,FMLE,0.17
BEL,2021,acute hepatitis b,FMLE,0.12
BEL,2021,chlamydia,FMLE,0.0
BEL,2021,trichomoniasis,FMLE,0.0
BEL,2021,acute hepatitis e,FMLE,0.02
BEL,2021,syphilis,FMLE,0.01
BEL,2021,genital herpes,FMLE,0.0
BEL,2021,tuberculosis,FMLE,0.29
BEL,2021,acute hepatitis a,FMLE,0.12
BEN,2021,acute hepatitis c,FMLE,0.06
BEN,2021,malaria,FMLE,83.32
BEN,2021,syphilis,FMLE,2.14
BEN,2021,acute hepatitis a,FMLE,0.17
BEN,2021,hiv/aids,FMLE,13.71
BEN,2021,acute hepatitis b,FMLE,0.36
BEN,2021,tuberculosis,FMLE,9.73
BEN,2021,genital herpes,FMLE,0.0
BEN,2021,chlamydia,FMLE,0.01
BEN,2021,acute hepatitis e,FMLE,0.02
BEN,2021,trichomoniasis,FMLE,0.0
BFA,2021,syphilis,FMLE,1.53
BFA,2021,genital herpes,FMLE,0.0
BFA,2021,tuberculosis,FMLE,6.09
BFA,2021,hiv/aids,FMLE,11.42
BFA,2021,acute hepatitis b,FMLE,1.01
BFA,2021,trichomoniasis,FMLE,0.0
BFA,2021,chlamydia,FMLE,0.02
BFA,2021,acute hepatitis e,FMLE,0.02
BFA,2021,malaria,FMLE,71.12
BFA,2021,acute hepatitis c,FMLE,0.1
BFA,2021,acute hepatitis a,FMLE,0.27
BGD,2021,acute hepatitis a,FMLE,0.88
BGD,2021,acute hepatitis c,FMLE,0.17
BGD,2021,malaria,FMLE,0.01
BGD,2021,chlamydia,FMLE,0.03
BGD,2021,acute hepatitis e,FMLE,0.04
BGD,2021,trichomoniasis,FMLE,0.0
BGD,2021,hiv/aids,FMLE,0.27
BGD,2021,tuberculosis,FMLE,24.25
BGD,2021,acute hepatitis b,FMLE,0.45
BGD,2021,syphilis,FMLE,0.85
BGD,2021,genital herpes,FMLE,0.0
BGR,2021,malaria,FMLE,0.0
BGR,2021,acute hepatitis c,FMLE,0.18
BGR,2021,acute hepatitis a,FMLE,0.07
BGR,2021,tuberculosis,FMLE,0.48
BGR,2021,syphilis,FMLE,0.0
BGR,2021,genital herpes,FMLE,0.0
BGR,2021,hiv/aids,FMLE,0.06
BGR,2021,acute hepatitis b,FMLE,0.29
BGR,2021,trichomoniasis,FMLE,0.0
BGR,2021,chlamydia,FMLE,0.0
BGR,2021,acute hepatitis e,FMLE,0.01
BHR,2021,hiv/aids,FMLE,0.04
BHR,2021,acute hepatitis b,FMLE,0.16
BHR,2021,tuberculosis,FMLE,1.15
BHR,2021,syphilis,FMLE,0.14
BHR,2021,genital herpes,FMLE,0.0
BHR,2021,acute hepatitis a,FMLE,0.02
BHR,2021,acute hepatitis c,FMLE,0.0
BHR,2021,chlamydia,FMLE,0.01
BHR,2021,malaria,FMLE,0.0
BHR,2021,trichomoniasis,FMLE,0.0
BHR,2021,acute hepatitis e,FMLE,0.01
BHS,2021,tuberculosis,FMLE,0.67
BHS,2021,genital herpes,FMLE,0.0
BHS,2021,syphilis,FMLE,0.03
BHS,2021,acute hepatitis a,FMLE,0.01
BHS,2021,acute hepatitis c,FMLE,0.0
BHS,2021,malaria,FMLE,0.0
BHS,2021,chlamydia,FMLE,0.04
BHS,2021,trichomoniasis,FMLE,0.0
BHS,2021,acute hepatitis e,FMLE,0.0
BHS,2021,hiv/aids,FMLE,19.58
BHS,2021,acute hepatitis b,FMLE,0.03
BIH,2021,chlamydia,FMLE,0.0
BIH,2021,trichomoniasis,FMLE,0.0
BIH,2021,acute hepatitis e,FMLE,0.0
BIH,2021,acute hepatitis c,FMLE,0.0
BIH,2021,malaria,FMLE,0.0
BIH,2021,syphilis,FMLE,0.03
BIH,2021,acute hepatitis a,FMLE,0.0
BIH,2021,hiv/aids,FMLE,0.01
BIH,2021,acute hepatitis b,FMLE,0.05
BIH,2021,tuberculosis,FMLE,2.44
BIH,2021,genital herpes,FMLE,0.0
BLR,2021,acute hepatitis c,FMLE,0.0
BLR,2021,acute hepatitis a,FMLE,0.0
BLR,2021,syphilis,FMLE,0.02
BLR,2021,tuberculosis,FMLE,1.29
BLR,2021,genital herpes,FMLE,0.0
BLR,2021,hiv/aids,FMLE,2.61
BLR,2021,acute hepatitis b,FMLE,0.02
BLR,2021,trichomoniasis,FMLE,0.0
BLR,2021,acute hepatitis e,FMLE,0.0
BLR,2021,chlamydia,FMLE,0.02
BLR,2021,malaria,FMLE,0.0
BLZ,2021,acute hepatitis a,FMLE,0.01
BLZ,2021,syphilis,FMLE,0.02
BLZ,2021,tuberculosis,FMLE,1.62
BLZ,2021,genital herpes,FMLE,0.0
