GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,0.76,0.76,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,15.3,15.3,,
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-positive-for-syphilis-who-received-treatment-%28-%29,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,81.3,81.3,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,22.7,22.7,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,0.38,0.38,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,16.1,16.1,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2021,2021,2021,AFR,Africa,NGA,Nigeria,,,,0.41,0.41,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2023,2023,2023,AFR,Africa,NGA,Nigeria,,,,0.171688301,0.17,,
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-positive-for-syphilis-who-received-treatment-%28-%29,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,74.9,74.9,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2022,2022,2022,AFR,Africa,NGA,Nigeria,,,,0.6,0.59,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,1.22,1.22,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,10.8,10.8,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2014,2014,2014,AFR,Africa,NGA,Nigeria,,,,14.9,14.9,,
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-positive-for-syphilis-who-received-treatment-%28-%29,2021,2021,2021,AFR,Africa,NGA,Nigeria,,,,79.6,79.6,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2022,2022,2022,AFR,Africa,NGA,Nigeria,,,,35.7,35.7,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2014,2014,2014,AFR,Africa,NGA,Nigeria,,,,1.62,1.62,,
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-positive-for-syphilis-who-received-treatment-%28-%29,2022,2022,2022,AFR,Africa,NGA,Nigeria,,,,66.0,66.0,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,0.5,0.5,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2024,2024,2024,AFR,Africa,NGA,Nigeria,,,,57.9,57.9,,
PerctestedANC,"Women accessing antenatal care (ANC) services who were tested for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/women-accessing-antenatal-care-%28anc%29-services-who-were-tested-for-syphilis-%28-%29,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,13.7,13.7,,
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-positive-for-syphilis-who-received-treatment-%28-%29,2024,2024,2024,AFR,Africa,NGA,Nigeria,,,,100.0,100,,
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-positive-for-syphilis-who-received-treatment-%28-%29,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,61.2,61.2,,
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-positive-for-syphilis-who-received-treatment-%28-%29,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,74.8,74.8,,
PerctreatedANC,"Antenatal care attendees positive for syphilis who received treatment (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-positive-for-syphilis-who-received-treatment-%28-%29,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,86.4,86.4,,
PercposANC,"Antenatal care attendees who were positive for syphilis (%), reported",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-attendees-who-were-positive-for-syphilis-%28-%29,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,0.4,0.4,,
