"uniquekeyl","statelga","statecodel","lgacodel","addressl","questnuml","reasonl","lgacreated","electward","lgaclass","distance","travel","publicsch","privatesch","newprimary","repaired","newroads","upgraded","newwells","handpumps","toilets","publictoil","budget","budgetneed","submitted","totrev99","totrev00","fedacct99","fedacct00","stacct99","stacct00","intrev99","intrev00","vatrev99","vatrev00","persexp99","persexp00","overexp99","overexp00","prevexp99","prevexp00","curcexp99","curcexp00","envsexp99","envsexp00","hcapexp99","hcapexp00","educationl","recstatus","revadd99","revadd00","hltexp99","hltexp00","prhlex99","prhlex00","prpers99","prpers00","prover99","prover00","prcap99","prcap00"
1,10001,1,1,"ADAVI LGA OGAMININA",1,1.79769313486232e+308,2,11,2,58,0.300000011920929,82,18,1,6,0,7,5,1,1,0,1,1,1,83039335.06,222969537.8,62745043.8,199801481,0,0,958183.01,1549268.88,19336108.97,21618787.34,15130160.51,30701220.41,2325125.8,6146366,3118358.33,6236716.66,9231679.35,18463358.7,2780122.83,6001145.05,200000,540254.39,6,1,83039336,222969536,17655286,37387840,0.212613523006439,0.167681381106377,0.856976211071014,0.821155250072479,0.131695732474327,0.164394780993462,0.0113280517980456,0.0144500024616718
2,10002,1,2,"BASSA LGA HQ OGUMA",1,3,2,10,3,276,3,103,1,7,0,0,54,0,1,0,0,1,1,1,62101007.1,142529832.7,46466027.26,121335787.4,0,0,1180730.04,1052479.36,14454249.8,20141565.95,8653322.08,40134536.51,1.79769313486232e+308,30000,156000,2507000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,650000,930000,3,1,62101008,142529840,1.79769313486232e+308,41094536,1.79769313486232e+308,0.288322329521179,1.79769313486232e+308,0.976639270782471,1.79769313486232e+308,0.000730024068616331,1.79769313486232e+308,0.0226307455450296
3,10003,1,3,"DEKINA LGA HQ DEKINA",1,1.79769313486232e+308,2,12,3,200,2,221,46,21,15,4,13,1,2,8,5,1,1,1,131265520,460094820,104558460,432000000,2236150,2236150,3818650,3251660,20652260,22607020,14381720,21560140,2661180,6634000,2830250,5055030,4942050,12667880,2176050,3837230,2500000,12403000,4,1,131265520,460094816,19542900,40597140,0.148880675435066,0.088236466050148,0.735905110836029,0.531075358390808,0.136171191930771,0.163410529494286,0.1279236972332,0.305514127016068
4,10004,1,4,"",1,1.79769313486232e+308,2,10,3,197,2.29999995231628,77,0,1.79769313486232e+308,1.79769313486232e+308,54,113,4,6,1,0,1,2,2,73261341.46,185795083.9,55585605.33,165785436.5,1748340.53,1.79769313486232e+308,490841.16,2212258.9,15206701.44,17797388.5,10725586.81,18563885.44,1583261.99,3972112.06,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5,1,73031488,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
5,10005,1,5,"AJAKA",1,1.79769313486232e+308,2,10,2,120,1.29999995231628,155,15,13,100,35,325,2,0,58,0,1,2,2,75725397.66,175413307.1,61554561.84,152888540.8,0,2000000,1420614.68,2095348.75,12750221.14,18429417.56,11141563.04,26450661.88,1045460.85,17565909.96,4062341.21,15006214.44,6093512.54,22008285.92,2031170.14,7002071.48,40600,1000240,5,1,75725400,175413312,12227624,45016812,0.161473214626312,0.256632804870605,0.911179721355438,0.587572991847992,0.0854999199509621,0.390207767486572,0.00332035077735782,0.0222192537039518
6,10006,1,6,"IDAH, OKETE OLIMENE",1,1.79769313486232e+308,2,10,2,200,1,74,10,10,15,200,100,10,5,2,2,1,1,1,67441174.81,164707219,48679270.17,144295916.7,1.79769313486232e+308,1.79769313486232e+308,728503.95,810576.05,17304896.74,19600726.18,12062263.12,21688641.21,1947386.43,809065.3,144950,208410,253150,2551255.4,34950,177567,1.79769313486232e+308,1421300,5,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,23919006,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.906753420829773,1.79769313486232e+308,0.0338252075016499,1.79769313486232e+308,0.0594213642179966
7,10007,1,7,"JIUMU LGA HQ IYARA",1,1.79769313486232e+308,2,15,2,120,1.29999995231628,54,16,0,0,0,18,15,0,1,0,1,1,1,79075360,115888010,63224080,93063000,1295660,1295660,4496200,5391350,10059420,16130000,13731500,15051180,2427400,2290000,528380,1359030,10198440,11064960,2799160,2627870,1515000,1200000,3,1,79075360,115880008,17673900,18541180,0.223507046699524,0.160003274679184,0.776936590671539,0.81177031993866,0.137343764305115,0.123508863151073,0.0857196226716042,0.0647208020091057
8,10008,1,8,"KABBA/BUNU LGA SEC. KABBA",1,5,2,15,3,104,1,73,21,1,5,0,150,31,6,3,4,1,2,2,190155410,178876001,170256180,156009499,0,0,1498990,1592832,18400240,21273697,22114030,27942046,1965000,1303747,1980030,2291230,2550586,2937150,2016050,2046960,1465000,969629,1.79769313486232e+308,1,190155408,178876032,25544030,30215422,0.13433238863945,0.16891822218895,0.865722060203552,0.924761056900024,0.0769260004162788,0.0431483946740627,0.0573519542813301,0.0320905335247517
9,10009,1,9,"KOGI LG KOTON-KARFE",1,3,2,11,3,50,0.300000011920929,7,79,6,5,0,0,30,10,7,0,1,2,2,1.79769313486232e+308,2768190,1.79769313486232e+308,219856910,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2838400,1.79769313486232e+308,21960640,1.79769313486232e+308,10086890,1.79769313486232e+308,2551200,1.79769313486232e+308,3390270,1.79769313486232e+308,3928430,1.79769313486232e+308,2768190,1.79769313486232e+308,2568000,3,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,15206090,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.663345396518707,1.79769313486232e+308,0.167774885892868,1.79769313486232e+308,0.168879702687264
10,10010,1,10,"LOKOJA LGA",1,1.79769313486232e+308,2,10,1,0,0.0500000007450581,120,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,30,15,20,2,5,1,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,107005575.1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2948516.3,1.79769313486232e+308,20527285.15,41480595.12,44112795.36,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
