"ID","questnum","statecode","lgacode","address","intname","firstintda","firststime","firstetime","firstintl","firstincom","secintdate","secstime","secetime","secintl","secincom","reason","supname","surcomdate","surinitial","dataentdat","datainitia","entname","firentdate","firseccomp","secentdate","secseccomp","notes","notes1","lgacreated","electward","lgaclass","distance","travel","publicsch","privatesch","newprimary","repaired","newroads","upgraded","newwells","handpumps","toilets","publictoil","budget","budgetneed","submitted","totrev99","totrev00","fedacct99","fedacct00","stacct99","stacct00","intrev99","intrev00","vatrev99","vatrev00","persexp99","persexp00","overexp99","overexp00","prevexp99","prevexp00","curcexp99","curcexp00","envsexp99","envsexp00","hcapexp99","hcapexp00","education"
10101,1,1,1,"ADAVI LGA OGAMININA","DR OSOWOLE",1900-06-13,11.3,12.3,1,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-06-13,"OS",,"","BIOLA",,1.79769313486232e+308,,1.79769313486232e+308,"","",2,11,2,58,0.3,82,18,1,6,0,7,5,1,1,0,1,1,1,83039335.06,222969537.8,62745043.8,199801481.01,0,0,958183.01,1549268.88,19336108.97,21618787.34,15130160.51,30701220.41,2325125.8,6146366,3118358.33,6236716.66,9231679.35,18463358.7,2780122.83,6001145.05,200000,540254.39,6
10102,1,1,2,"BASSA LGA HQ OGUMA","DR OSOWOLE",1900-06-18,2.3,3,1,2,1900-06-19,10.35,11.45,1,1,3,"DR OSOWOLE",1900-06-19,"OS",,"","BIOLA",,1.79769313486232e+308,,1.79769313486232e+308,"SPEB DOES ALL REPAIRS WITHOUT CONSULTING THE LGA EDUCATION OFFICE","NO PROPER BUDGET WAS FOUND IN THE LGA",2,10,3,276,3,103,1,7,0,0,54,0,1,0,0,1,1,1,62101007.1,142529832.66,46466027.26,121335787.35,0,0,1180730.04,1052479.36,14454249.8,20141565.95,8653322.08,40134536.51,0,30000,156000,2507000,0,0,0,0,650000,930000,3
10103,1,1,3,"DEKINA LGA HQ DEKINA","DR OSOWOLE",1900-06-17,1,2.25,1,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-06-17,"OS",,"","BIOLA",,1.79769313486232e+308,,1.79769313486232e+308,"THE LGA IS OWING 13 MONTHS SALARIES & NOW UNDER TRANSITIONAL COUNCIL","THE INTERVIEW IS LONG DUE TO THE NEWNESS OF THE TREASURER",2,12,3,200,2,221,46,21,15,4,13,1,2,8,5,1,1,1,131265520,460094820,104558460,432000000,2236150,2236150,3818650,3251660,20652260,22607020,14381720,21560140,2661180,6634000,2830250,5055030,4942050,12667880,2176050,3837230,2500000,12403000,4
10104,1,1,4,"","DR OSOWOLE",1900-06-28,2.17,3.21,1,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-06-28,"OS",,"","BIOLA",,1.79769313486232e+308,,1.79769313486232e+308,"PREVENTIVE, CURATIVE, HLT. ENVIRAL., HLT CAP. EXP.=HLT OVERHEAD EXPD.","",2,10,3,197,2.3,77,0,777,777,54,113,4,6,1,0,1,2,2,73261341.46,185795083.91,55585605.33,165785436.51,1748340.53,0,490841.16,2212258.9,15206701.44,17797388.5,10725586.81,18563885.44,1583261.99,3972112.06,0,0,0,0,0,0,0,0,5
10105,1,1,5,"AJAKA","DR OSOWOLE",1900-07-01,12.33,2.14,1,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-07-01,"OS",,"","BIOLA",,1.79769313486232e+308,,1.79769313486232e+308,"THERE IS WATER PROJECT GOING ON, LAYING OF PIPES TO LGA HQ FROM RIVER","",2,10,2,120,1.3,155,15,13,100,35,325,2,0,58,0,1,2,2,75725397.66,175413307.12,61554561.84,152888540.81,0,2000000,1420614.68,2095348.75,12750221.14,18429417.56,11141563.04,26450661.88,1045460.85,17565909.96,4062341.21,15006214.44,6093512.54,22008285.92,2031170.14,7002071.48,40600,1000240,5
10106,1,1,6,"IDAH, OKETE OLIMENE","OYEDIRAN OYEWOLE",1900-06-26,11.34,12.2,1,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-06-26,"OS",,"","BIOLA",,1.79769313486232e+308,,1.79769313486232e+308,"","",2,10,2,200,1,74,10,10,15,200,100,10,5,2,2,1,1,1,67441174.81,164707219.03,48679270.17,144295916.72,0,0,728503.95,810576.05,17304896.74,19600726.18,12062263.12,21688641.21,1947386.43,809065.3,144950,208410,253150,2551255.4,34950,177567,0,1421300,5
10107,1,1,7,"JIUMU LGA HQ IYARA","DR OSOWOLE",1900-06-13,11.3,12.15,1,1,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"DR OSOWOLE",1900-06-13,"OS",,"","BIOLA",,1.79769313486232e+308,,1.79769313486232e+308,"","",2,15,2,120,1.3,54,16,0,0,0,18,15,0,1,0,1,1,1,79075360,115888010,63224080,93063000,1295660,1295660,4496200,5391350,10059420,16130000,13731500,15051180,2427400,2290000,528380,1359030,10198440,11064960,2799160,2627870,1515000,1200000,3
10108,1,1,8,"KABBA/BUNU LGA SEC. KABBA","DR OSOWOLE",1900-06-14,10,10.3,1,2,1900-07-04,2.3,2.35,1,1,5,"DR OSOWOLE",1900-07-04,"OS",,"","BIOLA",,1.79769313486232e+308,,1.79769313486232e+308,"3.1.2 LEGISLATURE APPROVES BUDGET FOR CHAIRMAN'S ASSENT","3.1.4RECURRENT ACCOUNTS REVENUES FOR 1999 ARE ESTIMATES",2,15,3,104,1,73,21,1,5,0,150,31,6,3,4,1,2,2,190155410,178876001,170256180,156009499,0,0,1498990,1592832,18400240,21273697,22114030,27942046,1965000,1303747,1980030,2291230,2550586,2937150,2016050,2046960,1465000,969629,9
10109,1,1,9,"KOGI LG KOTON-KARFE","DR OSOWOLE",1900-06-11,11,11.3,1,2,1900-06-12,9.4,10.1,1,1,3,"DR OSOWOLE",1900-06-11,"OS",,"","BIOLA",,1.79769313486232e+308,,1.79769313486232e+308,"NO PHOTOCOPING MACHINE AND BUDGET CAN'T BE RELEASE TO TAKE OUT","PLANNING&BUDGET OFFICER WITH 2000 BUDGET NOT AVALIABLE",2,11,3,50,0.3,7,79,6,5,0,0,30,10,7,0,1,2,2,0,2768190,0,219856910,0,0,0,2838400,0,21960640,0,10086890,0,2551200,0,3390270,0,3928430,0,2768190,0,2568000,3
10110,1,1,10,"LOKOJA LGA","DR OSOWOLE",1900-06-11,3,3.55,1,2,,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",,"",,"","BIOLA",,1.79769313486232e+308,,1.79769313486232e+308,"OTHER FINANCIAL DATA COULD NOT BE COLLECTED, ASKED TO COME BACK","",2,10,1,0,0.05,120,888,888,888,0,30,15,20,2,5,1,2,2,0,0,0,107005575.08,0,0,0,2948516.3,0,20527285.15,41480595.12,44112795.36,0,0,0,0,0,0,0,0,0,0,5
