"uniquekeys","statelgafac","statecodes","lgacodes","distrcodes","facnames","addresss","questnums","reasons","designats","designats_2","ifotherspe","gender","age","educations","whoemploye","n15other","gradelevel","curgrade","primaryhea","workfacs","previously","indigene","farawayfac","time","time_2","gettowork","n116oth","havespouse","living","howfar","pays","n211oth","monthsal","months","salarylate","healthcare","medicines","schooling","housing","food","supplement","agric","petty","clinic","home","sellmed","other","n217oth","week","services","health","vacntime","vacnday","vacwdecide","arintime","arinday","ariwdecide","diatime","dianday","diawdecide","malntime","malnday","malwdecide","nutntime","nutnday","nutwdecide","matntime","matnday","matwdecide","fpntime","fpnday","fpwdecided","drugntime","drugnday","drugwdecid","stintime","stinday","stiwdecide","othntime","othnday","othwdecide","n221oth","days","outp","deliveries","inp","imm","antenatals","family","educa","inspection","laborators","admin","nonhealth","equipment","staffass","strike","strikelast","criterion","peoplelivi","house","bicycle","motorbike","car","boat","toilet","n314oth","purpose","times","discussed","referred","seeing","training","consider","attend","worker","diagnosis","tell","adjust","send","staffmeets","advice","whatother","n4111oth","notapplic","opinion","opinion_2","n4112oth","engaging","engaging_2","engaging_3","n4113oth","recstatus","salnopay"
1,10101,1,1,"OSISI/IPATU WARD",1,"OSISI",1,1.79769313486232e+308,4,4,"",2,34,3,1,"",7,12,11,7,1,1,10,0.300000011920929,0.5,4,"",1,1,1.79769313486232e+308,3,"",28550,1,0,2,2,2,2,2,1,2,1,2,1,2,1,"WEAVING",1,1,0,2,4,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",3,1,2,2,1,2,2,1,2,2,1,2,2,1,2,0,3,15,8,1,1,2,2,2,1.79769313486232e+308,1,0,0,0,2,4,1,8,2,2,2,1,2,1,1,1,"",2,4,4,"",3,3,2,"",1,11
2,10101,1,1,"OSISI/IPAKU",1,"OSISI",2,1.79769313486232e+308,6,6,"",2,25,3,2,"",3,6,8,6,0,1,1,0.300000011920929,0.5,1,"",1,1,1.79769313486232e+308,3,"",14200,10,0,1.79769313486232e+308,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",0,1.79769313486232e+308,0,4,8,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,1,1,1,2,1,1,2,2,2,1,2,1.79769313486232e+308,0,1,5,4,1,1,2,2,3,1.79769313486232e+308,1,4,0,0,2,2,1,3,1,3,1,1,2,1,1,2,"",1,1.79769313486232e+308,1.79769313486232e+308,"",3,3,2,"",1,2
3,10101,1,1,"OSISI/IPAKU WARD",1,"OSISI",3,1.79769313486232e+308,5,5,"",2,38,3,3,"",3,9,15,12,2,1,0,0.0500000007450581,0.0833333358168602,1,"",1,1,1.79769313486232e+308,3,"",24400,9,6,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,0,4,8,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,2,2,2,1,2,2,1,2,2,2,2,2,2,2,0,3,4,4,2,2,2,2,2,1.79769313486232e+308,1,1,2,2,2,1,1,4,1.79769313486232e+308,2,1,1,2,2,2,1.79769313486232e+308,"",1.79769313486232e+308,6,9,"DISC.PATIENTS SECRET",3,3,2,"",1,3
4,10102,1,1,"OSARA HLT DISTRICT",2,"OSARA TOWN",4,1.79769313486232e+308,6,6,"",2,35,2,2,"",2,6,21,4,2,1,1.79769313486232e+308,0.0500000007450581,0.0833333358168602,1,"",1,1.79769313486232e+308,1.79769313486232e+308,3,"",17000,9,9,2,2,2,1,2,1,2,1,2,1,1,1.79769313486232e+308,"",5,1,0,7,14,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,2,1,2,1,1,2,1,1,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,2,8,5,2,2,2,2,2,1.79769313486232e+308,1,6,1.79769313486232e+308,1.79769313486232e+308,2,2,2,20,1.79769313486232e+308,1.79769313486232e+308,1,1,2,2,2,1.79769313486232e+308,"",1.79769313486232e+308,1,1,"",3,3,2,"",1,3
5,10102,1,1,"OSARA HLT DISTRICT",2,"OSARA TOWN",5,1.79769313486232e+308,5,5,"",2,40,3,1,"",2,9,22,7,2,1,15,1.79769313486232e+308,1.79769313486232e+308,1,"",1,1,1.79769313486232e+308,3,"",25400,9,9,2,2,2,1,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,3,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,2,2,1.79769313486232e+308,1,2,2,1,1,2,2,2,2,1,1,0,3,15,6,2,2,2,1.79769313486232e+308,1,1.79769313486232e+308,1,4,1.79769313486232e+308,1.79769313486232e+308,2,2,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1,1,"",3,3,2,"",1,3
6,10103,1,1,"NAGAZI/FARM CENTER",3,"BASIC HEALTH CLINIC",6,1.79769313486232e+308,4,4,"",2,53,3,2,"",7,14,14,8,2,2,1.79769313486232e+308,0.100000001490116,0.16666667163372,1,"",1,1,1.79769313486232e+308,3,"",55000,9,6,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,2,0,2,14,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,14,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,3,1,2,3,1,3,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,1,1,1,1,1,2,1,2,2,1,1,2,2,5,4,2,2,1,2,3,1.79769313486232e+308,1,2,5,3,2,1,1,2,2,2,2,1,2,2,1,2,"",1.79769313486232e+308,5,5,"",3,3,2,"",1,3
7,10103,1,1,"NAGAI/FARM CENTER",3,"NAGAZI",7,1.79769313486232e+308,4,4,"",2,53,3,2,"",7,9,22,7,1,1,6,0.200000002980232,0.333333343267441,4,"",1,1,1.79769313486232e+308,3,"",26150,9,11,2,2,2,2,2,1,2,1,2,2,2,2,"",2,2,1.79769313486232e+308,2,2,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,1,2,2,1,2,2,2,2,2,1,2,1.79769313486232e+308,1,12,3,2,2,1,2,3,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,2,1,1,15,1.79769313486232e+308,1,1,2,2,2,2,2,"",2,1,1,"",6,6,3,"",1,3
8,10103,1,1,"NAGAI/FARM CENTER",3,"NAGAZI",8,1.79769313486232e+308,5,5,"",1,42,3,2,"",3,12,20,3,2,1,1,0.300000011920929,0.5,1,"",1,1,1.79769313486232e+308,3,"",29785,9,11,2,2,2,2,2,1,1,2,2,2,2,2,"",0,2,1.79769313486232e+308,2,4,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,1,2,2,1,1,2,1,2,2,1,1,1,1,8,4,2,2,2,2,2,1.79769313486232e+308,1,1,2,1,1,4,1,6,0,3,1,2,1,1,2,2,"",2,1,1,"",3,3,2,"",1,3
9,10103,1,1,"NAGAI/FARM CENTER",3,"NAGAZI",9,1.79769313486232e+308,3,3,"",2,32,3,2,"",4,8,10,10,0,2,1.79769313486232e+308,0.0500000007450581,0.0833333358168602,5,"",1,1,1.79769313486232e+308,3,"",21600,9,11,2,2,2,2,2,1,2,2,2,2,2,2,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1.79769313486232e+308,1,4,2,2,2,1,2,3,1.79769313486232e+308,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,1,1.79769313486232e+308,1.79769313486232e+308,1,1,2,2,2,2,2,"",2,6,9,"CORRECT AT P/OF PATI",4,4,2,"",1,3
10,10103,1,1,"NAGAI/FARM CENTER",3,"NAGAZI",10,1.79769313486232e+308,6,6,"",2,31,3,2,"",4,6,11,3,0,1,0,0.150000005960464,0.25,1,"",1,1,1.79769313486232e+308,3,"",12300,9,11,2,2,2,2,2,1,2,1,2,2,2,2,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,7,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1.79769313486232e+308,3,4,2,2,1,2,2,1.79769313486232e+308,1,5,2,2,2,1,1,10,0,1,1,2,2,2,1,2,"",2,1,1,"",3,3,2,"",1,3
11,10103,1,1,"NAGAZI/FARM CENTER",3,"NAZAZI",11,1.79769313486232e+308,6,6,"",2,50,3,2,"",2,4,8,8,0,2,2,0.300000011920929,0.5,1,"",1,1,1.79769313486232e+308,3,"",9900,9,11,2,2,2,2,2,1,2,2,2,1,2,2,"",3,1,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,1,1,2,2,2,2,2,2,2,1,1,3,1,3,1,2,2,2,2,2,1.79769313486232e+308,1,0,0,0,2,2,1,6,0,1,1,2,1,2,1,2,"",2,6,1,"SHOUTING AT PRE.PATI",3,3,2,"",1,3
12,10103,1,1,"NAGAI/FARM CENTER",3,"BASIC HEALTH CLINIC",12,1.79769313486232e+308,9,8,"",1,36,3,2,"",7,9,8,4,0,1,2,0.200000002980232,0.333333343267441,1,"",1,1,1.79769313486232e+308,3,"",25000,9,6,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",0,1.79769313486232e+308,1.79769313486232e+308,2,4,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,9,3,2,2,1,2,3,1.79769313486232e+308,1,2,3,2,2,1,1,29,0,5,2,1,2,2,2,2,"",1.79769313486232e+308,5,5,"",4,4,2,"",1,3
13,10104,1,1,"NAGAI/FARM CENTER",4,"PHC UTORO ADAVI LGA",13,1.79769313486232e+308,5,5,"",2,38,3,2,"",1,9,24,4,1,2,75,2,2,4,"",1,1,1.79769313486232e+308,3,"",24224,10,0,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",0,1.79769313486232e+308,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,1,1,1,1,1,2,1,2,2,1,1,0,2,8,6,2,1,1,2,3,1.79769313486232e+308,1,2,2,2,2,2,2,24,0,2,1,2,2,2,2,1.79769313486232e+308,"",1.79769313486232e+308,6,9,"NOT EXPERIENCED",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2
14,10105,1,1,"IDOHANAN WARD",5,"OGAMINANA",14,1.79769313486232e+308,5,5,"",1,44,3,1,"",3,12,26,2,2,1,2,0.300000011920929,0.5,4,"",1,1,1.79769313486232e+308,3,"",40500,9,11,2,2,2,2,2,1,2,2,2,2,2,2,"",0,1.79769313486232e+308,0,3,9,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,2,2,2,2,2,2,1,2,2,1,1,0,1,9,6,2,2,2,2,2,1.79769313486232e+308,1,4,0,2,2,2,1,2,0,1,1,1,2,2,2,2,"",2,6,6,"ABSENCE FROM DUTY",3,3,2,"",1,3
15,10105,1,1,"ANYOKE WARD",5,"DISPENSARY CLINIC",15,1.79769313486232e+308,3,3,"",1,35,3,1,"",7,8,4,2,1,1,4,0.300000011920929,0.5,4,"",1,1,1.79769313486232e+308,3,"",18300,12,0,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",0,1.79769313486232e+308,1.79769313486232e+308,4,4,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,2,2,2,1,2,2,1,2,2,1,1,0,1,5,5,2,2,1,2,2,1.79769313486232e+308,1,4,5,2,2,1,1,6,1,2,2,1,2,1,1,2,"",1.79769313486232e+308,5,5,"",3,3,2,"",1,0
16,10105,1,1,"ANYOKE WARD",5,"DISPENSARY CLINIC",16,1.79769313486232e+308,7,7,"",1,35,1.79769313486232e+308,2,"",3,8,24,15,1,1,1,0.150000005960464,0.25,1,"",1,1,1.79769313486232e+308,3,"",21000,10,5,2,2,2,2,2,1,1,2,2,1,2,2,"",0,1.79769313486232e+308,0,3,21,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,2,2,2,2,2,2,1,1,2,2,2,2,1,1,0,2,8,6,2,1,2,2,2,1.79769313486232e+308,1,1,10,0,2,1,1,0,0,2,2,1,2,1,2,2,"",1.79769313486232e+308,1,1,"",3,3,2,"",1,2
17,10106,1,1,"ADAVI EBA WARD",6,"DISPENSARY CLINIC ADAVI",17,1.79769313486232e+308,5,5,"",1,40,3,1,"",2,9,13,6,1,1,0,0.100000001490116,0.16666667163372,1,"",1,1,1.79769313486232e+308,3,"",24830,9,3,2,2,2,2,2,1,2,2,2,2,2,2,"",0,1.79769313486232e+308,0,4,4,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,1,2,2,1,1,2,2,2,2,1,2,1.79769313486232e+308,1,10,6,2,2,1,2,2,1.79769313486232e+308,1,2,2,2,2,2,1,3,0,5,1,2,2,2,2,1,"",1.79769313486232e+308,6,9,"TREATING A CASE",7,7,4,"BRING BEFORE PROFESS",1,3
18,10106,1,1,"ADAVI EBA WORD",6,"DISPENSARY CLINIC ADAVI",18,1.79769313486232e+308,5,5,"",1,49,3,1,"",2,10,26,8,4,1,0,0.0199999995529652,0.0333333313465118,1,"",1,1,1.79769313486232e+308,3,"",29400,10,0,2,2,2,1,2,1,1,2,2,2,2,2,"",0,1.79769313486232e+308,0,3,3,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,"",5,2,1.79769313486232e+308,1.79769313486232e+308,1,2,2,1,1,1.79769313486232e+308,1,2,2,1,1,0,3,7,3,1,2,2,2,2,1.79769313486232e+308,1,2,2,0,1,4,1,45,0,5,1,1,2,1,1,1.79769313486232e+308,"",1,1,1,"",3,3,2,"",1,2
19,10107,1,1,"NEGAZI",7,"PHC DISPENSARY",19,1.79769313486232e+308,6,6,"",2,32,3,2,"",3,5,9,2,0,2,0,0.0199999995529652,0.0333333313465118,1,"",1,1,1.79769313486232e+308,3,"",11250,9,3,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,"",0,1.79769313486232e+308,0,6,12,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,2,1,1,2,2,2,2,2,2,1,2,1.79769313486232e+308,1,5,2,2,2,2,2,1,1.79769313486232e+308,1,2,0,0,2,1,1,3,0,2,1,1,2,1,2,2,"",2,4,4,"",3,3,2,"",1,3
20,10107,1,1,"NEGAZI",7,"PHC IREPENI",20,1.79769313486232e+308,5,5,"",2,35,3,2,"",3,9,16,0,4,2,4,0.100000001490116,0.16666667163372,4,"",1,1,1.79769313486232e+308,3,"",27800,9,3,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,"",0,1.79769313486232e+308,0,6,12,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,2,1,1,2,2,2,1,1.79769313486232e+308,2,1,2,1.79769313486232e+308,1,10,6,2,2,2,2,1,1.79769313486232e+308,1,2,0,0,2,2,1,3,0,2,1,2,2,1,2,1.79769313486232e+308,"",2,1,1,"",3,3,2,"",1,3
21,10201,1,2,"BASSA",1,"AS ABOVE",1,1.79769313486232e+308,5,5,"",1,38,3,2,"",3,8,15,2,0,2,0,0,0,1,"",1,1,1.79769313486232e+308,3,"",19500,1,0,2,2,2,1,2,1,1,2,2,2,1,2,"",0,1.79769313486232e+308,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",7,1,2,2,2,1,2,1,1,1.79769313486232e+308,1,2,2,1,1,0,3,6,5,2,1,2,2,1,1.79769313486232e+308,1,0,1,0,2,1,2,3,0,2,1,1,2,1,1,2,"",2,4,4,"",3,3,2,"",1,11
