GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
ASSISTIVETECH_Q06,Workforce availability for assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-an-adequate-number-of-trained-human-resources-for-assistive-technology-services-at-all-levels-of-health-and-social-service-delivery,2021,2021,2021,AFR,Africa,NGA,Nigeria,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q06_05,Human resources for Self care,,Information not available,,
ASSISTIVETECH_Q06,Workforce availability for assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-an-adequate-number-of-trained-human-resources-for-assistive-technology-services-at-all-levels-of-health-and-social-service-delivery,2021,2021,2021,AFR,Africa,NGA,Nigeria,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q06_03,Human resources for Hearing,,Information not available,,
ASSISTIVETECH_Q10,Existence of initiatives/collaborations on assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/promotion-facilitation-support-or-investment-in-assistive-technology-related-areas-at-national-level,2021,2021,2021,AFR,Africa,NGA,Nigeria,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q10_08,"International collaboration on manufacturing, procurement or supply of products",,Yes,,
ASSISTIVETECH_Q05,Availability of government/registered services for assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-government-or-registered-services-providing-assistive-technology,2021,2021,2021,AFR,Africa,NGA,Nigeria,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q05_03,Services related to Hearing,,Information not available,,
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-funding-for-the-provision-of-assistive-technology-in-the-latest-national-public-budgets,2021,2021,2021,AFR,Africa,NGA,Nigeria,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q03_01,In a separate budget for assistive technology,,Information not available,,
ASSISTIVETECH_Q01,Existence of legislation on access to assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-at-least-one-national-legislation-in-place-that-ensure-or-help-improve-access-to-assistive-technology-for-people-in-need,2021,2021,2021,AFR,Africa,NGA,Nigeria,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q01_06,Legislation on defense (or similar),,Yes,,
ASSISTIVETECH_Q09,Existence of regulations/standards/guidelines/protocols on assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-national-regulations-standards-guidelines-or-protocols-on-assistive-technology,2021,2021,2021,AFR,Africa,NGA,Nigeria,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q09_05,Barrier-free/accessible environments,,Information not available,,
ASSISTIVETECH_Q10,Existence of initiatives/collaborations on assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/promotion-facilitation-support-or-investment-in-assistive-technology-related-areas-at-national-level,2021,2021,2021,AFR,Africa,NGA,Nigeria,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q10_02,Product development,,Yes,,
ASSISTIVETECH_Q01,Existence of legislation on access to assistive technology,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-at-least-one-national-legislation-in-place-that-ensure-or-help-improve-access-to-assistive-technology-for-people-in-need,2021,2021,2021,AFR,Africa,NGA,Nigeria,ASSISTIVETECHSUBQUESTION,ASSISTIVETECHSUBQUESTION_ASSISTIVETECH_Q01_04,Legislation on education (or similar),,Yes,,
