GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
PATIENTSAFETY_COREINDICATORRESPONSE,Patient safety core indicator survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/patient-safety-action-plan-core-indicator-survey-response,2023,2023,2023,AFR,Africa,NGA,Nigeria,PATIENTSAFETY_SURVEYQUESTION,PATIENTSAFETY_SURVEYQUESTION_PS_TARGETHARMREDUCTION_SET,National target set for reduction in medication-related harm,,Yes,,
PATIENTSAFETY_COREINDICATORRESPONSE,Patient safety core indicator survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/patient-safety-action-plan-core-indicator-survey-response,2023,2023,2023,AFR,Africa,NGA,Nigeria,PATIENTSAFETY_SURVEYQUESTION,PATIENTSAFETY_SURVEYQUESTION_PS_HEALTHCAREFACILITIES_PARTICIPATE,Health care facilities participate in patient safety incidence reporting and learning system,,Not initiated,,
PATIENTSAFETY_COREINDICATORRESPONSE,Patient safety core indicator survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/patient-safety-action-plan-core-indicator-survey-response,2023,2023,2023,AFR,Africa,NGA,Nigeria,PATIENTSAFETY_SURVEYQUESTION,PATIENTSAFETY_SURVEYQUESTION_PS_PLAN_DEVELOPED,National patient safety action plan developed,,Partially met,,
PATIENTSAFETY_COREINDICATORRESPONSE,Patient safety core indicator survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/patient-safety-action-plan-core-indicator-survey-response,2023,2023,2023,AFR,Africa,NGA,Nigeria,PATIENTSAFETY_SURVEYQUESTION,PATIENTSAFETY_SURVEYQUESTION_PS_PATIENTSAFETYNETWORK_ESTABLISHED,National patient safety network established,,Partially met,,
PATIENTSAFETY_COREINDICATORRESPONSE,Patient safety core indicator survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/patient-safety-action-plan-core-indicator-survey-response,2023,2023,2023,AFR,Africa,NGA,Nigeria,PATIENTSAFETY_SURVEYQUESTION,PATIENTSAFETY_SURVEYQUESTION_PS_PATIENTSAFETYCURRICULA_INCLUDED,Patient safety included in undergraduate professional education curricula,,Not initiated,,
PATIENTSAFETY_COREINDICATORRESPONSE,Patient safety core indicator survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/patient-safety-action-plan-core-indicator-survey-response,2023,2023,2023,AFR,Africa,NGA,Nigeria,PATIENTSAFETY_SURVEYQUESTION,PATIENTSAFETY_SURVEYQUESTION_PS_ANNUALREPORT_PUBLISHED,Report on patient safety performance published every year,,Not initiated,,
PATIENTSAFETY_COREINDICATORRESPONSE,Patient safety core indicator survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/patient-safety-action-plan-core-indicator-survey-response,2023,2023,2023,AFR,Africa,NGA,Nigeria,PATIENTSAFETY_SURVEYQUESTION,PATIENTSAFETY_SURVEYQUESTION_PS_TARGETINFECTIONSREDUCTION_ESTABLISHED,Targets established for health care-associated infections,,No,,
PATIENTSAFETY_COREINDICATORRESPONSE,Patient safety core indicator survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/patient-safety-action-plan-core-indicator-survey-response,2023,2023,2023,AFR,Africa,NGA,Nigeria,PATIENTSAFETY_SURVEYQUESTION,PATIENTSAFETY_SURVEYQUESTION_PS_REPORTINGSYSTEM_PLACED,Reporting system for never events (sentinel events) in place,,Not initiated,,
PATIENTSAFETY_COREINDICATORRESPONSE,Patient safety core indicator survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/patient-safety-action-plan-core-indicator-survey-response,2023,2023,2023,AFR,Africa,NGA,Nigeria,PATIENTSAFETY_SURVEYQUESTION,PATIENTSAFETY_SURVEYQUESTION_PS_WHOCHARTER_GVTSIGNEDENDORSED,Governement endorsed and signed WHO charter on health worker safety: a priority for patient safety,,Not initiated,,
PATIENTSAFETY_COREINDICATORRESPONSE,Patient safety core indicator survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/patient-safety-action-plan-core-indicator-survey-response,2023,2023,2023,AFR,Africa,NGA,Nigeria,PATIENTSAFETY_SURVEYQUESTION,PATIENTSAFETY_SURVEYQUESTION_PS_PATIENTREP_APPOINTED,Patient representative appointed to governing board in hospitals,,Not initiated,,
