Field,Label,Value
id,Dataset ID,13d91947-4498-468f-9752-7c80fc2d9bd5
title,Title of Dataset,Nigeria - Health Indicators
name,Dataset URL,who-data-for-nga
notes,Description,"This dataset contains data from WHO's data portal covering the following categories:   Adolescent, Ageing, Air pollution, Assistive technology, Child, Child mortality, Cross-cutting, Dementia diagnosis, treatment and care, Environment and health, Foodborne Diseases Estimates, Global Dementia Observatory (GDO), Global Health Estimates: Life expectancy and leading causes of death and disability, Global Information System on Alcohol and Health, Global Patient Safety Observatory, Global strategy, HIV, Health financing, Health systems, Health taxes, Health workforce, Hepatitis, Immunization coverage and vaccine-preventable diseases, Malaria, Maternal and newborn, Maternal and reproductive health, Mental health, Neglected tropical diseases, Noncommunicable diseases, Nutrition, Oral Health, Priority health technologies, Resources for Substance Use Disorders, Road Safety, SDG Target 3.8 | Achieve universal health coverage (UHC), Sexually Transmitted Infections, Tobacco control, Tuberculosis, Vaccine-preventable communicable diseases, Violence prevention, Water, sanitation and hygiene (WASH), World Health Statistics.   For links to individual indicator metadata, see resource descriptions."
dataset_source,Source,World Health Organization
organization,Contributor,World Health Organization
dataset_date,Reference Period,[1961-01-01T00:00:00 TO 2030-12-31T23:59:59]
last_modified,Updated,2025-09-29T17:08:41.288413
data_update_frequency,Expected Update Frequency,Every month
groups,Location,Nigeria
license_title,License,Other
methodology,Methodology,Registry
methodology_other,Define Methodology,
caveats,Caveats/Comments,More details about the indicators are available in the links in the dataset description.
tags,Tags,"disability, disease, environment, health, hxl, indicators, malaria, maternity, mental health, nutrition, vaccination-immunization"
resource_1_created,Created,2020-03-11T10:00:58.329800
resource_1_description,Description,See resource descriptions below for links to indicator metadata
resource_1_format,File Format,CSV
resource_1_download_url,Download URL,https://data.humdata.org/dataset/13d91947-4498-468f-9752-7c80fc2d9bd5/resource/191fa4ae-cfc6-459e-a241-b014dd2a4af6/download/health_indicators_nga.csv
resource_1_id,Resource ID,191fa4ae-cfc6-459e-a241-b014dd2a4af6
resource_1_last_modified,Updated,2025-09-29T17:08:32.640401
resource_1_metadata_modified,Metadata Updated,2025-09-29T17:14:25.422543
