GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
NTD_TRA5,Number of people operated for trachomatous trichiasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-people-operated-for-trachomatous-trichiasis,2021,2021,2021,AFR,Africa,NGA,Nigeria,,,,8116.0,8116,,
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-in-areas-that-warrant-treatment-with-antibiotics-facial-cleanliness-and-environmental-improvement-for-elimination-of-trachoma-as-a-public-health-problem,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,13907587.0,13907587,,
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hat-tb-gambiense,2009,2009,2009,AFR,Africa,NGA,Nigeria,,,,0.0,0,,
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hat-tb-gambiense,2004,2004,2004,AFR,Africa,NGA,Nigeria,,,,10.0,10,,
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hat-tb-gambiense,1998,1998,1998,AFR,Africa,NGA,Nigeria,,,,0.0,0,,
NTD_ONCHSTATUS,Status of endemicity of onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/status-of-endemicity-of-onchocerciasis,2023,2023,2023,AFR,Africa,NGA,Nigeria,,,,,Endemic,,
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-in-areas-that-warrant-treatment-with-antibiotics-facial-cleanliness-and-environmental-improvement-for-elimination-of-trachoma-as-a-public-health-problem,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,21243693.0,21243693,,
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hat-tb-gambiense,1999,1999,1999,AFR,Africa,NGA,Nigeria,,,,27.0,27,,
NTD_BU_SUSP,Number of suspected cases of Buruli ulcer reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-buruli-ulcer,2009,2009,2009,AFR,Africa,NGA,Nigeria,,,,24.0,24,,
NTD_BU_SUSP,Number of suspected cases of Buruli ulcer reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-buruli-ulcer,2022,2022,2022,AFR,Africa,NGA,Nigeria,,,,216.0,216,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2007,2007,2007,AFR,Africa,NGA,Nigeria,,,,23464448.0,23464448,,
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hat-tb-gambiense,2001,2001,2001,AFR,Africa,NGA,Nigeria,,,,14.0,14,,
NTD_8,Number of people who received treatment with antibiotics for trachoma,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-people-who-received-treatment-with-antibiotics-for-trachoma,2011,2011,2011,AFR,Africa,NGA,Nigeria,,,,2802109.0,2802109,,
