GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,1969,1969,1969,AFR,Africa,NGA,Nigeria,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,0.0,0,,
NCD_CHOL_MEANNONHDL_C,"Mean Non-HDL cholesterol, crude",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/chol_06,2009,2009,2009,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,2.6,2.6 [2.3-2.9],2.3,2.9
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2017,2017,2017,AFR,Africa,NGA,Nigeria,SEX,SEX_BTSX,Both sexes,14.6174,14.6 [11.7-17.8],11.693496,17.768995
M_Est_smk_curr,Estimate of current tobacco smoking prevalence (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-tobacco-control-monitor-current-tobaccouse-tobaccosmoking-cigarrettesmoking-nonagestd-tobnonagestdcurr,2015,2015,2015,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,0.5,0.5 [0.3-0.6],0.3,0.6
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,2008,2008,2008,AFR,Africa,NGA,Nigeria,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,Other alcoholic beverages,1.337439725,1.3,,
SA_0000001821,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol), three-year average",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-unrecorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29-with-95-ci,2022,2022,2022,AFR,Africa,NGA,Nigeria,,,,0.683906806,0.7 [0.2 - 1.4],0.1915705,1.355673383
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2020,2020,2020,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,9.0369828,9.0 [6.1-12.4],6.1184194,12.436341
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2020,2020,2020,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,3.1291869,3.1 [1.4-5.6],1.4497152,5.6409799
NCDCCS_COUNTRYRESPONSE,NCD country capacity survey response,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cancer-diagnosis-and-treatment-services,2023,2023,2023,AFR,Africa,NGA,Nigeria,NCDCCS_SECTION,NCDCCS_SECTION_NCD_CCS_TESTSPROCPRIMARY,Tests and procedures in primary health care,,No,,
NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-total-cholesterol-%28crude-estimate%29,2007,2007,2007,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,3.9,3.9 [3.5-4.2],3.5,4.2
NCD_CHOL_MEANTOTALCHOL_A,"Mean total cholesterol,  age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-total-cholesterol-%28age-standardized-estimate%29,1995,1995,1995,AFR,Africa,NGA,Nigeria,SEX,SEX_BTSX,Both sexes,3.6,3.6 [3.4-3.8],3.4,3.8
