GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-productivity-losses-due-to-5-oral-diseases-in-million-%28us-dollar%29,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,834.82218,834.8,,
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-assistants-and-therapists-%28number%29,2012,2012,2012,AFR,Africa,NGA,Nigeria,,,,6290.0,6290,,
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-expenditure-on-dental-healthcare-in-million-%28us-dollar%29,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,137.45178,137.5,,
ORALHEALTH_SUGAR_AVAILABILITY,Per capita availability of refined sugar (g/day),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ORALHEALTH_SUGAR_AVAILABILITY,2019,2019,2019,AFR,Africa,NGA,Nigeria,SEX,SEX_BTSX,Both sexes,27.0137,27.0,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2003,2003,2003,AFR,Africa,NGA,Nigeria,,,,0.18,0.18,,
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-assistants-and-therapists-%28number%29,2010,2010,2010,AFR,Africa,NGA,Nigeria,,,,3361.0,3361,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,0.21,0.21,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,0.2,0.2,,
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-assistants-and-therapists-%28number%29,2008,2008,2008,AFR,Africa,NGA,Nigeria,,,,705.0,705,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,0.2,0.2,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2013,2013,2013,AFR,Africa,NGA,Nigeria,,,,0.22,0.22,,
ORALHEALTH_UNTREATEDCARIESDECIDUOUS,Prevalence of untreated caries of deciduous teeth in children 1-9 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-untreated-caries-of-deciduous-teeth-in-children-1-9-years,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,35.48586,35.5,,
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-assistants-and-therapists-%28number%29,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,6165.0,6165,,
ORALHEALTH_DENTALHEALTHCARE_EXP_PERCAP,Per capita expenditure on dental healthcare (US$),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/per-capita-expenditure-on-dental-healthcare-%28us-dollar%29,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,0.68396,0.7,,
ORALHEALTH_AFFORDABILITY_FLUORIDETOOTHPASTE,Affordability of fluoride toothpaste,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/affordability-of-fluoride-toothpaste,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,,Unaffordable,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2022,2022,2022,AFR,Africa,NGA,Nigeria,,,,0.23,0.23,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2009,2009,2009,AFR,Africa,NGA,Nigeria,,,,0.15,0.15,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2010,2010,2010,AFR,Africa,NGA,Nigeria,,,,0.17,0.17,,
ORALHEALTH_NOMA,Oral health: Noma recognized as a national public health problem,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/noma-recognized-as-a-national-public-health-problem,2021,2021,2021,AFR,Africa,NGA,Nigeria,,,,,Yes,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,0.21,0.21,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,0.22,0.22,,
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-assistants-and-therapists-%28number%29,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,1823.0,1823,,
ORALHEALTH_SEVEREPERIODONTALDISEASE,Prevalence of severe periodontal disease in people 15+ year (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-severe-periodontal-disease-in-people-15--years,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,25.11822,25.1,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2005,2005,2005,AFR,Africa,NGA,Nigeria,,,,0.15,0.15,,
ORALHEALTH_NCD_STAFF,Presence of dedicated staff for oral health working on NCDs at the MoH,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/presence-of-dedicated-staff-for-oral-health-working-on-ncds-at-the-moh,2021,2021,2021,AFR,Africa,NGA,Nigeria,,,,,No,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2008,2008,2008,AFR,Africa,NGA,Nigeria,,,,0.16,0.16,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2011,2011,2011,AFR,Africa,NGA,Nigeria,,,,0.17,0.17,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,0.22,0.22,,
ORALHEALTH_EDENTULISM_PREVALENCE,Prevalence of edentulism in people 20+ years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-edentulism-in-people-20--years,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,1.69179,1.7,,
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-assistants-and-therapists-%28number%29,2007,2007,2007,AFR,Africa,NGA,Nigeria,,,,1012.0,1012,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2012,2012,2012,AFR,Africa,NGA,Nigeria,,,,0.18,0.18,,
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-assistants-and-therapists-%28number%29,2021,2021,2021,AFR,Africa,NGA,Nigeria,,,,11781.0,11 781,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2021,2021,2021,AFR,Africa,NGA,Nigeria,,,,0.22,0.22,,
