GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/recommendations-for-screening-and-brief-interventions-for-substance-use-in-antenatal-services,2014,2014,2014,AFR,Africa,NGA,Nigeria,SUBSTANCETYPE,SUBSTANCETYPE_CANNABIS,Cannabis,,Yes,,
RSUD_660,Treatment programmes for women with alcohol use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-programmes-for-women-with-alcohol-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDTREATMENTLOCATION,RSUDTREATMENTLOCATION_IN_OTHER_AREAS,In other areas,,No,,
RSUD_780,Continuing professional development in prevention,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/continuing-professional-development-in-prevention,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDHWF,RSUDHWF_DOCTORS,Medical doctors,,Yes,,
RSUD_250,Five-year change in government resources for prevention for substance use,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/five-year-change-in-government-resources-for-prevention-for-substance-use,2014,2014,2014,AFR,Africa,NGA,Nigeria,SUBSTANCETYPE,SUBSTANCETYPE_DRUGS,Drugs,,Slight increase,,
RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/involvement-of-representatives-of-affected-or-targeted-populations-in-the-development-and-formulation-of-policies-and-strategies-for-treatment-of-substance-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDREP,RSUDREP_RSUDREP_DRUGUSEDISORDERFAM,Representatives of family members of people with drug use disorders,,No data,,
RSUD_370,Specialized treatment facilities for alcohol use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialized-treatment-facilities-for-alcohol-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDTREATMENTLOCATION,RSUDTREATMENTLOCATION_IN_THE_CAPITAL_CITY,In the capital city,,No data,,
RSUD_780,Continuing professional development in prevention,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/continuing-professional-development-in-prevention,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDHWF,RSUDHWF_PSYCHOLOGISTS,Psychologists,,Yes,,
RSUD_790,Educational attainment in treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/educational-attainment-in-treatment,2014,2014,2014,AFR,Africa,NGA,Nigeria,EDUCATIONLEVEL,EDUCATIONLEVEL_TERTIARY,Short-cycle tertiary education,,No,,
RSUD_890,Treatment programmes for children and adolescents with alcohol use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-programmes-for-children-and-adolescents-with-alcohol-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDTREATMENTLOCATION,RSUDTREATMENTLOCATION_IN_THE_CAPITAL_CITY,In the capital city,,No,,
RSUD_190,Five years change in international cooperation for treatment of substance use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/five-years-change-in-international-cooperation-for-treatment-of-substance-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,SUBSTANCETYPE,SUBSTANCETYPE_ALCOHOL,Alcohol,,Significant increase,,
RSUD_810,Continuing professional development in treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/continuing-professional-development-in-treatment,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDHWF,RSUDHWF_DOCTORS,Medical doctors,,Yes,,
RSUD_720,Open access interventions for alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/open-access-interventions-for-alcohol,2014,2014,2014,AFR,Africa,NGA,Nigeria,OPENACCESSSERVICE,OPENACCESSSERVICE_TELEPHONE_HELP_LINES,Telephone help lines,,No,,
RSUD_320,Main sector for treatment for alcohol use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/main-sector-for-treatment-for-alcohol-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,PROGRAMME,PROGRAMME_OUT_PATIENT_TREATMENT,Out-patient treatment,,Public health sector,,
RSUD_280,Financing methods for treatment for drug use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/financing-methods-for-treatment-for-drug-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,PROGRAMME,PROGRAMME_OUT_PATIENT_TREATMENT,Out-patient treatment,,Government financing,,
RSUD_680,Special housing services for alcohol use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/special-housing-services-for-alcohol-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDTREATMENTLOCATION,RSUDTREATMENTLOCATION_IN_OTHER_MAJOR_CITIES,In other major cities,,No,,
RSUD_180,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/involvement-of-representatives-of-affected-or-targeted-populations-in-the-development-and-implementation-of-national-programmes-for-prevention-for-alcohol-and-drugs,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDREP,RSUDREP_RSUDREP_ALCOHOLUSEDISORDER,Representatives of people with alcohol use disorders,,No data,,
RSUD_740,Health professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/health-professionals-providing-treatment-for-alcohol-and-drug-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDHWF,RSUDHWF_NURSES_NOT_SPECIALIZED_IN_PSYCH,Nurses not specialized in psychiatry,,No data,,
RSUD_410,Reported treatment coverage for substance dependence,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-treatment-coverage-for-substance-dependence,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDSUBSTANCEDEPENDENCE,RSUDSUBSTANCEDEPENDENCE_OPIOID_DEPENDENCE,Opioid dependence,,Very limited (approx. 1 - 10%),,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevention-programmes-for-specific-populations-for-alcohol,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDSPECIFICPOPULATION,RSUDSPECIFICPOPULATION_PERSONS_WITH_MENTAL_HEALTH_DISORDERS,Persons with mental health disorders,,No data,,
RSUD_630,Programmes readily available,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/programmes-readily-available,2014,2014,2014,AFR,Africa,NGA,Nigeria,PROGRAMME,PROGRAMME_OUTREACH_SERVICES_INJECTINGDRUGUSERS,Outreach services for injecting drug users,,No,,
RSUD_600,Prevention programmes for drugs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevention-programmes-for-drugs,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDPREVENTIONPROGRAMME,RSUDPREVENTIONPROGRAMME_ADS_IN_PUBLIC,Advertisements in public places (posters etc.),,Yes,,
RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/recommendations-for-screening-and-brief-interventions-for-substance-use-in-antenatal-services,2014,2014,2014,AFR,Africa,NGA,Nigeria,SUBSTANCETYPE,SUBSTANCETYPE_PRESCRIPTION_DRUGS,Prescription drugs,,Yes,,
RSUD_170,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/involvement-of-representatives-of-affected-or-targeted-populations-in-the-development-and-formulation-of-policies-and-strategies-for-prevention-for-alcohol-and-drugs,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDREP,RSUDREP_RSUDREP_NGO,Representatives of non-governmental organizations,,Yes,,
RSUD_210,Voluntary treatment for people with alcohol use disorders in the criminal justice system,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/voluntary-treatment-for-people-with-alcohol-use-disorders-in-the-criminal-justice-system,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDTREATMENT,RSUDTREATMENT_RSUDTREATMENT_ALTERNATIVE,As an alternative to criminal sanction,,No data,,
RSUD_170,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/involvement-of-representatives-of-affected-or-targeted-populations-in-the-development-and-formulation-of-policies-and-strategies-for-prevention-for-alcohol-and-drugs,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDREP,RSUDREP_RSUDREP_DRUGUSER,Representatives of people who use drugs,,No data,,
RSUD_290,Hypothecated taxes to be spent on prevention and treatment for substance use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hypothecated-taxes-to-be-spent-on-prevention-and-treatment-for-substance-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,SUBSTANCETYPE,SUBSTANCETYPE_DRUGS,Drugs,,No,,
RSUD_450,Pharmacotherapy with buprenorphine/naloxone,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacotherapy-with-buprenorphine-naloxone,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDPHARMACOTHERAPYOPTION,RSUDPHARMACOTHERAPYOPTION_DETOXIFICATION,Detoxification,,No,,
RSUD_180,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/involvement-of-representatives-of-affected-or-targeted-populations-in-the-development-and-implementation-of-national-programmes-for-prevention-for-alcohol-and-drugs,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDREP,RSUDREP_RSUDREP_PHARMAINDUSTRY,Representatives of the pharmaceutical industry,,Yes,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevention-programmes-for-specific-populations-for-alcohol,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDSPECIFICPOPULATION,RSUDSPECIFICPOPULATION_YOUNG_ADULTS,Young adults,,No data,,
RSUD_360,Specialized treatment facilities for substance use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialized-treatment-facilities-for-substance-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDTREATMENTLOCATION,RSUDTREATMENTLOCATION_IN_THE_CAPITAL_CITY,In the capital city,,Yes,,
RSUD_720,Open access interventions for alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/open-access-interventions-for-alcohol,2014,2014,2014,AFR,Africa,NGA,Nigeria,OPENACCESSSERVICE,OPENACCESSSERVICE_WEB_BASED_INTERVENTIONS,Web-based interventions,,No,,
RSUD_580,Prevention programmes for alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevention-programmes-for-alcohol,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDPREVENTIONPROGRAMME,RSUDPREVENTIONPROGRAMME_WORK_PLACE_PROG,Work place programmes,,No,,
RSUD_570,Groups and agencies involved in prevention programs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/groups-and-agencies-involved-in-prevention-programs,2014,2014,2014,AFR,Africa,NGA,Nigeria,GROUP,GROUP_HEALTH_CARE_WORKERS,Health care workers,,Yes,,
RSUD_680,Special housing services for alcohol use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/special-housing-services-for-alcohol-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDTREATMENTLOCATION,RSUDTREATMENTLOCATION_IN_OTHER_AREAS,In other areas,,No,,
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/involvement-of-representatives-of-affected-or-targeted-populations-in-the-development-and-implementation-of-national-programmes-for-treatment-of-substance-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDREP,RSUDREP_RSUDREP_DRUGUSEDISORDERFAM,Representatives of family members of people with drug use disorders,,No data,,
RSUD_810,Continuing professional development in treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/continuing-professional-development-in-treatment,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDHWF,RSUDHWF_NARCOLOGISTS,Addiction medicine specialists/narcologists,,No data,,
RSUD_610,Prevention programmes for specific populations for drugs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevention-programmes-for-specific-populations-for-drugs,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDSPECIFICPOPULATION,RSUDSPECIFICPOPULATION_ELDERLY,Elderly,,No data,,
RSUD_600,Prevention programmes for drugs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevention-programmes-for-drugs,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDPREVENTIONPROGRAMME,RSUDPREVENTIONPROGRAMME_WORK_PLACE_PROG,Work place programmes,,No,,
RSUD_570,Groups and agencies involved in prevention programs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/groups-and-agencies-involved-in-prevention-programs,2014,2014,2014,AFR,Africa,NGA,Nigeria,GROUP,GROUP_COMMUNITY_GROUPS,Community groups,,No data,,
RSUD_740,Health professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/health-professionals-providing-treatment-for-alcohol-and-drug-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDHWF,RSUDHWF_DOCTORS_NOT_SPECIALIZED_IN_PSYCH_OR_ADDICTMED,Medical doctors not specialized in psychiatry or addiction medicine,,Yes,,
RSUD_370,Specialized treatment facilities for alcohol use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialized-treatment-facilities-for-alcohol-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDTREATMENTLOCATION,RSUDTREATMENTLOCATION_IN_OTHER_MAJOR_CITIES,In other major cities,,No data,,
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/standards-of-care-for-professionals-providing-treatment-for-alcohol-and-drug-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDHWF,RSUDHWF_PSYCHIATRISTS,Psychiatrists,,Yes,,
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/involvement-of-representatives-of-affected-or-targeted-populations-in-the-development-and-implementation-of-national-programmes-for-treatment-of-substance-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDREP,RSUDREP_RSUDREP_YOUTH,Representatives of youth organizations,,No data,,
RSUD_510,Registration of naloxone for injection for opioid overdose,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/registration-of-naloxone-for-injection-for-opioid-overdose,2014,2014,2014,AFR,Africa,NGA,Nigeria,,,,,No,,
RSUD_600,Prevention programmes for drugs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevention-programmes-for-drugs,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDPREVENTIONPROGRAMME,RSUDPREVENTIONPROGRAMME_COMMUNITY_BASED_PROG,Community based programmes,,No,,
RSUD_220,Voluntary treatment for people with drug use disorders in the criminal justice system,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/voluntary-treatment-for-people-with-drug-use-disorders-in-the-criminal-justice-system,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDTREATMENT,RSUDTREATMENT_RSUDTREATMENT_ALTERNATIVE,As an alternative to criminal sanction,,No data,,
RSUD_440,Pharmacotherapy with buprenorphine,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacotherapy-with-buprenorphine,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDPHARMACOTHERAPYOPTION,RSUDPHARMACOTHERAPYOPTION_MAINTENANCE,Maintenance,,No,,
RSUD_590,Prevention programmes for specific populations for alcohol,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevention-programmes-for-specific-populations-for-alcohol,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDSPECIFICPOPULATION,RSUDSPECIFICPOPULATION_MINORITY_GROUPS,Minority groups,,No data,,
RSUD_600,Prevention programmes for drugs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevention-programmes-for-drugs,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDPREVENTIONPROGRAMME,RSUDPREVENTIONPROGRAMME_SERVING_STAFF_TRAINING_PROG,Serving staff training programmes,,No data,,
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/standards-of-care-for-professionals-providing-treatment-for-alcohol-and-drug-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDHWF,RSUDHWF_OUTREACH_FIELD_WORKERS,Outreach/field workers,,No data,,
RSUD_660,Treatment programmes for women with alcohol use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-programmes-for-women-with-alcohol-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDTREATMENTLOCATION,RSUDTREATMENTLOCATION_IN_OTHER_MAJOR_CITIES,In other major cities,,No,,
RSUD_780,Continuing professional development in prevention,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/continuing-professional-development-in-prevention,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDHWF,RSUDHWF_NURSES,Nurses,,Yes,,
RSUD_320,Main sector for treatment for alcohol use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/main-sector-for-treatment-for-alcohol-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,PROGRAMME,PROGRAMME_OUT_PATIENT_DETOXIFICATION,Out-patient detoxification,,No data,,
RSUD_210,Voluntary treatment for people with alcohol use disorders in the criminal justice system,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/voluntary-treatment-for-people-with-alcohol-use-disorders-in-the-criminal-justice-system,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDTREATMENT,RSUDTREATMENT_RSUDTREATMENT_ADDITION,In addition to criminal sanction,,Yes,,
RSUD_240,Compulsory treatment for people with drug use disorders in the criminal justice system,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/compulsory-treatment-for-people-with-drug-use-disorders-in-the-criminal-justice-system,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDTREATMENT,RSUDTREATMENT_RSUDTREATMENT_ADDITION,In addition to criminal sanction,,No,,
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/standards-of-care-for-professionals-providing-treatment-for-alcohol-and-drug-use-disorders,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDHWF,RSUDHWF_PSYCHIATRIC_NURSES,Psychiatric nurses,,Yes,,
RSUD_180,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/involvement-of-representatives-of-affected-or-targeted-populations-in-the-development-and-implementation-of-national-programmes-for-prevention-for-alcohol-and-drugs,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDREP,RSUDREP_RSUDREP_DRUGUSEDISORDER,Representatives of people with drug use disorders,,No data,,
RSUD_390,Self-help groups,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/self-help-groups,2014,2014,2014,AFR,Africa,NGA,Nigeria,GROUP,GROUP_FAMILY_SUPPORT_GROUPS,Family support groups,,No,,
RSUD_500,Registration of medications for opioid withdrawal,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/registration-of-medications-for-opioid-withdrawal,2014,2014,2014,AFR,Africa,NGA,Nigeria,DRUG,DRUG_CLONIDINE,Clonidine,,No,,
RSUD_650,Special treatment programmes for gambling disorder,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/special-treatment-programmes-for-gambling-disorder,2014,2014,2014,AFR,Africa,NGA,Nigeria,RSUDTREATMENTLOCATION,RSUDTREATMENTLOCATION_IN_OTHER_AREAS,In other areas,,No,,
