GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-household-expenditures-on-health-greater-than-10-of-total-household-expenditure-or-income-%28sdg-3-8-2%29-%28-%29,2018,2018,2018,AFR,Africa,NGA,Nigeria,AGEGROUP,AGEGROUP_AGE60+,60+ years of age,19.83,19.83,,
FINPROTECTION_IMP_PRELPL_POP,"Population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-pushed-further-below-a-relative-poverty-line-by-household-health-expenditures-60-of-median-daily-per-capita-consumption-or-income,2003,2003,2003,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,10.3,10.3,,
FINPROTECTION_IMP_PRELPL_POP,"Population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-pushed-further-below-a-relative-poverty-line-by-household-health-expenditures-60-of-median-daily-per-capita-consumption-or-income,2018,2018,2018,AFR,Africa,NGA,Nigeria,HOUSEHOLD_COMP_BY_AGE,HOUSEHOLD_COMP_BY_AGE_HH_COMP_ONLY_OLDER_ADULTS,Only older adults (>=60 years old),13.03,13.03,,
FINPROTECTION_IMP_PRELPL_POP,"Population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-pushed-further-below-a-relative-poverty-line-by-household-health-expenditures-60-of-median-daily-per-capita-consumption-or-income,2018,2018,2018,AFR,Africa,NGA,Nigeria,AGEGROUP,AGEGROUP_AGE60+,60+ years of age,24.63,24.63,,
FINPROTECTION_IMP_PRELPL_POP,"Population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-pushed-further-below-a-relative-poverty-line-by-household-health-expenditures-60-of-median-daily-per-capita-consumption-or-income,2010,2010,2010,AFR,Africa,NGA,Nigeria,AGEGROUP,AGEGROUP_AGELT60,Below 60 years old,19.1,19.1,,
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-index-of-service-coverage,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,39.34686,39,,
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-household-expenditures-on-health-greater-than-10-of-total-household-expenditure-or-income-%28sdg-3-8-2%29-%28-%29,2018,2018,2018,AFR,Africa,NGA,Nigeria,SEX,SEX_FMLE,Female,18.59,18.59,,
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-household-expenditures-on-health-greater-than-10-of-total-household-expenditure-or-income-%28sdg-3-8-2%29-%28-%29,2003,2003,2003,AFR,Africa,NGA,Nigeria,SEX,SEX_MLE,Male,22.39,22.39,,
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/population-with-household-expenditures-on-health-greater-than-10-of-total-household-expenditure-or-income-%28sdg-3-8-2%29-%28-%29,2015,2015,2015,AFR,Africa,NGA,Nigeria,HOUSEHOLD_COMP_BY_AGE,HOUSEHOLD_COMP_BY_AGE_HH_COMP_ONLY_OLDER_ADULTS,Only older adults (>=60 years old),31.07,31.07,,
UHC_SCI_NCD,UHC Service Coverage sub-index on noncommunicable diseases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/uhc-sci-components-noncommunicable-diseases,2021,2021,2021,AFR,Africa,NGA,Nigeria,,,,62.66391,63,,
