GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2006,2006,2006,AFR,Africa,NGA,Nigeria,,,,22.0,22 [15-33],15.0,33.0
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2009,2009,2009,AFR,Africa,NGA,Nigeria,,,,56.0,56 [37-80],37.0,80.0
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2006,2006,2006,AFR,Africa,NGA,Nigeria,,,,70734.0,70 734,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,97279.0,97 279,,
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-positive-tb-patients-on-art-%28antiretroviral-therapy%29-%28-%29,2021,2021,2021,AFR,Africa,NGA,Nigeria,,,,92.0,92,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2005,2005,2005,AFR,Africa,NGA,Nigeria,,,,44.0,44 [16-86],16.0,86.0
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,87211.0,87 211,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2013,2013,2013,AFR,Africa,NGA,Nigeria,,,,94825.0,94 825,,
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-positive-tb-patients-on-art-%28antiretroviral-therapy%29-%28-%29,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,91.0,91,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,469000.0,469 000 [306 000-666 000],306000.0,666000.0
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2013,2013,2013,AFR,Africa,NGA,Nigeria,,,,219.0,219 [143-311],143.0,311.0
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,16.0,16,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2000,2000,2000,AFR,Africa,NGA,Nigeria,,,,79000.0,79 000 [32 000-148 000],32000.0,148000.0
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2004,2004,2004,AFR,Africa,NGA,Nigeria,,,,57553.0,57 553,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,89.0,89,,
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2007,2007,2007,AFR,Africa,NGA,Nigeria,,,,0.67,0.67,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2007,2007,2007,AFR,Africa,NGA,Nigeria,,,,45.0,45,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2013,2013,2013,AFR,Africa,NGA,Nigeria,,,,87000.0,87 000 [57 000-124 000],57000.0,124000.0
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2000,2000,2000,AFR,Africa,NGA,Nigeria,,,,25821.0,25 821,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2002,2002,2002,AFR,Africa,NGA,Nigeria,,,,73.0,73,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,100.0,100,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2021,2021,2021,AFR,Africa,NGA,Nigeria,,,,479000.0,479 000 [312 000-680 000],312000.0,680000.0
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-positive-tb-patients-on-art-%28antiretroviral-therapy%29-%28-%29,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,75.0,75,,
